,flight_date,flight_number,departure_aerodrome_icao_code,arrival_aerodrome_icao_code,aircraft_registration,planned_zfw,block_fuel,trip_fuel,taxi_fuel,std_date,plan_flt_time,ramp_fuel,est_zfw,actual_zfw,offblock_time,offblock_fuel,zfwcg,pax_a,pax_b,pax_c,pax_d,pax_e,infant,airborne_time,landing_time,flight_time,onblock_time,onblock_fuel,actual_burn_fuel,block_time,pf,pm,water_uplift,water_remain
2843,2022-06-09T00:00:00.000Z,THA304,VYYY,VTBS,HS-THG,,,,,,,10800.0,,149983.0,0239,10900.0,25.5,,,,,,,0305,0406,0101,0413,4900.0,5950.0,0134,44278,38903,97.0,97.0
2842,2022-06-09T00:00:00.000Z,THA303,VTBS,VYYY,HS-THG,,,,,,,,,148779.0,0045,16600.0,27.0,,,,,,,0053,0149,0056,0157,11000.0,5650.0,0112,38903,44278,97.0,97.0
2828,2022-06-08T00:00:00.000Z,THA409,VTBS,WSSS,HS-THG,,,,,,,16200.0,,175800.0,0911,16200.0,27.2,25.0,97.0,60.0,,,2.0,0922,1127,0205,1134,4700.0,11300.0,0223,28382,44342,40.0,34.0
2815,2022-06-08T00:00:00.000Z,THA403,VTBS,WSSS,HS-THG,,,,,,,16000.0,,169816.0,0113,16000.0,25.0,19.0,107.0,62.0,,,,0126,0325,0159,0332,4800.0,11100.0,0219,43934,37223,41.0,32.0
2816,2022-06-08T00:00:00.000Z,THA404,WSSS,VTBS,HS-THG,,,,,,,17100.0,,186319.0,0442,17100.0,28.0,26.0,149.0,121.0,,,3.0,0501,0654,0153,0702,5500.0,11550.0,0220,37223,43934,31.0,
2817,2022-06-08T00:00:00.000Z,THA641,RJAA,VTBS,HS-TJW,,,,,,,44400.0,158537.0,158537.0,0146,44500.0,,,,,,,,0205,0830,0625,0835,7000.0,37400.0,0649,44292,38737,290.0,281.0
2819,2022-06-08T00:00:00.000Z,THA643,RJAA,VTBS,HS-TKP,,,,,,,52800.0,206652.0,206300.0,0258,52700.0,,10.0,3.0,22.0,47.0,38.0,0.0,0324,0933,0609,0944,8000.0,45100.0,0646,45129,37119,962.0,811.0
2820,2022-06-08T00:00:00.000Z,THA620,VTBS,RPLL,HS-THK,,,,,,,25200.0,177000.0,176696.0,0139,25300.0,30.5,26.0,132.0,101.0,,,7.0,0149,0500,0311,0506,7000.0,18100.0,0327,,,58.0,46.0
2821,2022-06-08T00:00:00.000Z,THA657,RKSI,VTBS,HS-TKK,,,,,,,44200.0,209500.0,209533.0,0124,44300.0,32.0,23.0,14.0,56.0,116.0,96.0,2.0,0142,0640,0458,0649,8200.0,35900.0,0525,43951,32103,864.0,634.0
2822,2022-06-08T00:00:00.000Z,THA621,RPLL,VTBS,HS-THK,,,,,,,21100.0,174600.0,175005.0,0619,20900.0,30.1,19.0,145.0,107.0,,,0.0,0638,0918,0240,0927,5800.0,15100.0,0308,,,45.0,35.0
2823,2022-06-08T00:00:00.000Z,THA478,YSSY,VTSP,HS-TKU,,,,,,,76200.0,221500.0,218497.0,0012,76100.0,,23.0,18.0,59.0,123.0,104.0,3.0,0032,0907,0835,0913,8200.0,67900.0,0901,44158,37219,979.0,466.0
2824,2022-06-08T00:00:00.000Z,THA478,VTSP,VTBS,HS-TKU,,,,,,,16440.0,207662.0,207662.0,1016,16400.0,24.0,,,,,,,1028,1132,0104,1139,7800.0,8500.0,0123,43503,40187,,
2825,2022-06-08T00:00:00.000Z,THA623,RJBB,VTBS,HS-TTA,,,,,,,45800.0,210300.0,210475.0,0235,45700.0,,1.0,7.0,36.0,22.0,10.0,,0251,0818,0527,0825,7700.0,37800.0,0550,40790,36056,325.0,166.0
2826,2022-06-08T00:00:00.000Z,THA466,YMML,VTBS,HS-THL,,,,,,,57400.0,183700.0,181608.0,0000,57200.0,31.4,32.0,152.0,121.0,,,4.0,0017,0906,0849,0913,5500.0,51550.0,0913,37211,40785,65.0,36.0
2827,2022-06-08T00:00:00.000Z,THA916,VTBS,EGLL,HS-TKZ,,,,,,,102600.0,194000.0,193600.0,0557,102600.0,28.0,15.0,9.0,32.0,69.0,53.0,3.0,0610,1814,1204,1831,12000.0,90700.0,1234,,,661.0,298.0
2818,2022-06-08T00:00:00.000Z,THA664,VTBS,ZSPD,HS-THH,,,,,,,48600.0,159180.0,159180.0,0324,48600.0,25.4,0.0,0.0,0.0,,,0.0,0335,0728,0353,0745,26600.0,21950.0,0421,32112,44310,41.0,41.0
2829,2022-06-08T00:00:00.000Z,THA410,WSSS,VTBS,HS-THG,,,,,,,16400.0,,181500.0,1311,16250.0,28.6,32.0,144.0,119.0,,,3.0,1328,1524,0156,1534,4850.0,11350.0,0223,44342,28382,34.0,34.0
2836,2022-06-08T00:00:00.000Z,THA951,EKCH,VTBS,HS-TKW,,,,,,,99700.0,230400.0,231169.0,1239,99700.0,,14.0,8.0,52.0,105.0,99.0,0.0,1252,2313,1021,2323,8100.0,91000.0,1044,40523,43423,1041.0,661.0
2830,2022-06-08T00:00:00.000Z,THA9718,LSZH,VTBS,HS-TQF,,,,,,,51000.0,120000.0,,0446,51200.0,18.3,,,,,,,0457,1534,1037,1542,6700.0,44400.0,1056,42600,37226,700.0,640.0
2841,2022-06-08T00:00:00.000Z,THA930,VTBS,LFPG,HS-TWA,,,,,,,74000.0,166600.0,165999.0,1724,73900.0,28.3,24.0,127.0,101.0,,,2.0,1741,0516,1135,0527,7700.0,66000.0,1203,24868,43116,681.0,166.0
2839,2022-06-08T00:00:00.000Z,THA640,VTBS,RJAA,HS-TJV,,,,,,,41600.0,,152230.0,1513,41400.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1523,2113,0550,2119,8700.0,33200.0,0606,29442,45605,551.0,492.0
2838,2022-06-08T00:00:00.000Z,THA338,VOMM,VTBS,HS-TQC,,,,,,,19500.0,140200.0,140300.0,1914,19300.0,20.5,,,,,,,1931,2234,0303,2240,5600.0,14000.0,0326,25320,42616,,
2837,2022-06-08T00:00:00.000Z,THA337,VTBS,VOMM,HS-TQC,,,,,,,19700.0,147800.0,148200.0,1505,19700.0,21.6,10.0,82.0,73.0,,,1.0,1520,1757,0237,1802,7300.0,12600.0,0257,26466,25320,700.0,
2840,2022-06-08T00:00:00.000Z,THA644,VTBS,RJGG,HS-THN,,,,,,,35700.0,,169918.0,1714,35700.0,26.8,11.0,82.0,39.0,,,0.0,1730,2241,0511,2248,7600.0,28350.0,0534,37995,44190,51.0,39.0
2835,2022-06-08T00:00:00.000Z,THA911,EGLL,VTBS,HS-TTC,,,,,,,93900.0,208500.0,209357.0,1217,93800.0,30.0,5.0,30.0,125.0,59.0,42.0,3.0,1231,2346,1115,2353,9600.0,84200.0,1136,44171,37220,1183.0,537.0
2834,2022-06-08T00:00:00.000Z,THA317,VTBS,VABB,HS-TKR,,,,,,,39700.0,222100.0,222969.0,1153,39500.0,29.0,16.0,11.0,48.0,104.0,97.0,2.0,1204,1535,0331,1544,11900.0,27600.0,0351,43319,36050,847.0,687.0
2833,2022-06-08T00:00:00.000Z,THA326,VOBL,VTBS,HS-THB,,,,,,,24700.0,167540.0,168084.0,1913,24700.0,29.6,,,,,,,1924,2350,0426,2356,6100.0,18400.0,0443,38387,42627,60.0,
2832,2022-06-08T00:00:00.000Z,THA325,VTBS,VOBL,HS-THB,,,,,,,24500.0,180000.0,179300.0,1416,24600.0,28.0,,,,,,,1428,1731,0303,1745,6400.0,18100.0,0329,42627,38387,77.0,72.0
2831,2022-06-08T00:00:00.000Z,THA961,ESSA,VTBS,HS-THE,,,,,,,73000.0,170200.0,169249.0,1222,73000.0,34.7,,,,,,,1234,2334,1100,2340,8300.0,64650.0,1118,43942,30931,60.0,22.0
2789,2022-06-07T00:00:00.000Z,THA606,VTBS,VHHH,HS-TJW,,,,,,,22800.0,,176900.0,0901,22700.0,24.0,,,,,,,0911,1133,0222,1140,7300.0,15400.0,0239,36046,42775,360.0,340.0
2779,2022-06-07T00:00:00.000Z,THA612,VTBS,ZPPP,HS-TKL,,,,,,,40300.0,,209181.0,0346,40300.0,21.0,,,,,,,0405,0557,0152,0606,24800.0,153000.0,0220,43320,33822,740.0,732.0
2788,2022-06-07T00:00:00.000Z,THA678,VTBS,ZGGG,HS-TKN,,,,,,,45900.0,211430.0,211439.0,0854,45900.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0905,1138,0233,1151,26100.0,20000.0,0257,35454,43315,1306.0,1306.0
2787,2022-06-07T00:00:00.000Z,THA679,ZGGG,VTBS,HS-TKN,,,,,,,25700.0,180981.0,180981.0,1509,25200.0,,0.0,0.0,0.0,0.0,0.0,0.0,1528,1741,0213,1752,10400.0,14800.0,0243,43315,35454,1306.0,1306.0
2786,2022-06-07T00:00:00.000Z,THA317,VTBS,VABB,HS-THC,,,,,,,31600.0,191933.0,191404.0,1158,31600.0,30.1,19.0,131.0,103.0,,,3.0,1209,1542,0333,1551,9200.0,22000.0,0353,44194,39833,60.0,51.0
2785,2022-06-07T00:00:00.000Z,THA404,WSSS,VTBS,HS-THB,,,,,,,17500.0,,183134.0,0444,17300.0,26.9,,,,,,,0459,0655,0156,0703,5500.0,11800.0,0219,43259,38345,70.0,50.0
2784,2022-06-07T00:00:00.000Z,THA477,VTBS,VTSP,HS-TKU,,,,,,,45700.0,207700.0,207877.0,0941,45500.0,24.0,9.0,5.0,34.0,56.0,34.0,2.0,0954,1051,0057,1055,37000.0,8500.0,0114,36723,43825,679.0,
2783,2022-06-07T00:00:00.000Z,THA916,VTBS,EGLL,HS-TQC,,,,,,,68400.0,145500.0,144889.0,0556,68400.0,,,,,,,,0618,1810,1152,1818,7200.0,61200.0,1222,43969,33882,602.0,200.0
2782,2022-06-07T00:00:00.000Z,THA919,VTSP,VTBS,HS-TQD,,,,,,,10400.0,,124650.0,0922,10400.0,,6.0,5.0,8.0,,,,0933,1044,0111,1051,5200.0,5300.0,0129,42318,39692,249.0,208.0
2781,2022-06-07T00:00:00.000Z,THA624,VTBS,RPLL,HS-TKR,,,,,,,33800.0,215700.0,216639.0,0738,33800.0,25.0,13.0,5.0,50.0,93.0,75.0,,0759,1110,0311,1113,9800.0,23900.0,0335,45515,33867,1340.0,1165.0
2780,2022-06-07T00:00:00.000Z,THA625,RPLL,VTBS,HS-TKR,,,,,,,28300.0,212500.0,211602.0,1222,28100.0,33.0,16.0,10.0,57.0,120.0,101.0,2.0,1241,1515,0234,1524,8800.0,19000.0,0302,33867,45515,1165.0,1050.0
2773,2022-06-07T00:00:00.000Z,THA476,YSSY,VTBS,HS-TKV,,,,,,,85500.0,230800.0,229930.0,0025,85900.0,27.0,22.0,18.0,63.0,123.0,103.0,8.0,0037,0939,0902,0949,7900.0,77500.0,0924,43501,36748,1021.0,546.0
2778,2022-06-07T00:00:00.000Z,THA613,ZPPP,VTBS,HS-TKL,,,,,,,24300.0,,220766.0,0928,24200.0,27.0,,,,,,,0945,1127,0142,1135,11200.0,13100.0,0207,33822,43320,735.0,732.0
2777,2022-06-07T00:00:00.000Z,THA465,VTBS,YMML,HS-THL,,,,,,,56800.0,,172567.0,0140,56900.0,25.5,,,,,,,0151,1011,0820,1016,9100.0,47550.0,0836,44191,36732,40.0,
2776,2022-06-07T00:00:00.000Z,THA466,YMML,VTBS,HS-THF,,,,,,,58800.0,,181964.0,2352,58800.0,34.9,,,,,,,0009,0859,0850,0910,6100.0,52500.0,0918,42584,33879,70.0,29.0
2775,2022-06-07T00:00:00.000Z,THA601,VHHH,VTBS,HS-TTA,,,,,,,22700.0,195579.0,195418.0,0517,22800.0,,0.0,14.0,45.0,41.0,17.0,4.0,0532,0747,0215,0753,7800.0,14900.0,0236,43396,39689,493.0,422.0
2774,2022-06-07T00:00:00.000Z,THA600,VTBS,VHHH,HS-TTA,,,,,,,26600.0,212400.0,210089.0,0127,26600.0,,0.0,14.0,32.0,29.0,15.0,,0136,0400,0224,0409,8900.0,17100.0,0242,39689,43396,564.0,493.0
2771,2022-06-07T00:00:00.000Z,THA403,VTBS,WSSS,HS-THB,,,,,,,16800.0,,180557.0,0104,16600.0,26.3,,,,,,,0125,0313,0148,0328,5300.0,11400.0,0224,38345,43259,100.0,70.0
2770,2022-06-07T00:00:00.000Z,THA322,VGHS,VTBS,HS-TKP,,,,,,,23700.0,193600.0,193414.0,0746,23600.0,25.0,,,,,,,0758,1003,0205,1009,9100.0,14400.0,0223,33816,44166,1200.0,1156.0
2769,2022-06-07T00:00:00.000Z,THA321,VTBS,VGHS,HS-TKP,,,,,,,41500.0,202600.0,202518.0,0341,41600.0,26.0,,,,,,,0401,0616,0215,0624,23800.0,17500.0,0243,44166,33816,1300.0,1244.0
2768,2022-06-07T00:00:00.000Z,THA641,RJAA,VTBS,HS-TKM,,,,,,,49500.0,191966.0,191966.0,0146,49600.0,,0.0,0.0,0.0,0.0,0.0,0.0,0210,0820,0610,0832,7100.0,42309.0,0646,40294,39835,325.0,322.0
2791,2022-06-07T00:00:00.000Z,THA931,LFPG,VTBS,HS-TWA,,,,,,,65800.0,,158083.0,1145,65900.0,,30.0,121.0,98.0,,,1.0,1203,2304,1101,2312,6400.0,59200.0,1127,26453,44157,765.0,365.0
2790,2022-06-07T00:00:00.000Z,THA607,VHHH,VTBS,HS-TJW,,,,,,,18200.0,,144241.0,1235,18400.0,29.0,,,,,,,1251,1501,0210,1508,6100.0,12000.0,0233,42775,36046,340.0,330.0
2795,2022-06-07T00:00:00.000Z,THA911,EGLL,VTBS,HS-TTB,,,,,,,94000.0,208400.0,208260.0,1251,93700.0,30.0,5.0,35.0,116.0,54.0,43.0,0.0,1312,0017,1105,0025,8600.0,85500.0,1134,43424,34100,953.0,334.0
2792,2022-06-07T00:00:00.000Z,THA318,VABB,VTBS,HS-THC,,,,,,,28700.0,180500.0,179216.0,1759,28400.0,30.2,16.0,134.0,112.0,,,0.0,1818,2222,0404,2231,5200.0,23050.0,0432,44349,39833,50.0,42.0
2804,2022-06-07T00:00:00.000Z,THA338,VOMM,VTBS,HS-TJV,,,,,,,26400.0,147000.0,172200.0,1943,26500.0,,,,,,,,1957,2300,0303,2311,7000.0,19000.0,0328,39149,44212,700.0,584.0
2793,2022-06-07T00:00:00.000Z,THA921,EDDF,VTBS,HS-TKX,,,,,,,92100.0,220099.0,219164.0,1406,92500.0,31.0,20.0,13.0,62.0,115.0,97.0,2.0,1423,0043,1020,0050,8400.0,83700.0,1044,43412,33624,1000.0,400.0
2813,2022-06-07T00:00:00.000Z,THA930,VTBS,LFPG,HS-THM,,,,,,,80000.0,178100.0,177749.0,1713,79900.0,27.3,27.0,121.0,78.0,,,0.0,1725,0501,1136,0511,7400.0,72500.0,1158,44291,37249,79.0,43.0
2812,2022-06-07T00:00:00.000Z,THA950,VTBS,EKCH,HS-TKW,,,,,,,95800.0,210187.0,209407.0,1821,95800.0,,12.0,6.0,38.0,74.0,56.0,2.0,1836,0543,1107,0555,7300.0,88100.0,1134,38378,42621,700.0,307.0
2811,2022-06-07T00:00:00.000Z,THA970,VTBS,LSZH,HS-TKM,,,,,,,96600.0,207881.0,207982.0,1804,96500.0,27.0,16.0,10.0,44.0,78.0,52.0,1.0,1819,0526,1107,0532,9600.0,87100.0,1128,26787,44793,800.0,272.0
2810,2022-06-07T00:00:00.000Z,THA960,VTBS,ESSA,HS-THE,,,,,,,76100.0,160281.0,159937.0,1810,76200.0,31.0,17.0,81.0,61.0,,,0.0,1826,0556,1130,0606,9900.0,66250.0,1156,35308,42646,51.0,21.0
2809,2022-06-07T00:00:00.000Z,THA644,VTBS,RJGG,HS-THF,,,,,,,36000.0,169372.0,169400.0,1703,36000.0,31.0,11.0,59.0,57.0,,,,1717,2230,0513,2235,7600.0,28150.0,0532,44274,27477,50.0,35.0
2808,2022-06-07T00:00:00.000Z,THA622,VTBS,RJBB,HS-TTA,,,,,,,41600.0,208217.0,208222.0,1700,41300.0,26.0,2.0,20.0,62.0,24.0,10.0,0.0,1714,2217,0503,2222,6600.0,34900.0,0522,,,450.0,350.0
2807,2022-06-07T00:00:00.000Z,THA339,VTBS,VGHS,HS-TJS,,,,,,,36400.0,162365.0,161772.0,1709,36200.0,31.0,7.0,39.0,31.0,29.0,33.0,0.0,1720,1922,0202,1927,22900.0,13400.0,0218,43406,30337,700.0,743.0
2806,2022-06-07T00:00:00.000Z,THA642,VTBS,RJAA,HS-TKP,,,,,,,49300.0,,201524.0,1652,49300.0,28.0,11.0,7.0,42.0,69.0,28.0,1.0,1708,2237,0529,2243,9900.0,39400.0,0551,33623,44297,1185.0,979.0
2805,2022-06-07T00:00:00.000Z,THA340,VGHS,VTBS,HS-TJS,,,,,,,22400.0,161200.0,161424.0,2039,22600.0,30.0,,,,,,,2049,2254,0205,2303,10000.0,12700.0,0224,30337,43406,743.0,701.0
2814,2022-06-07T00:00:00.000Z,THA917,EGLL,VTBS,HS-TQC,,,,,,,62100.0,147100.0,144895.0,2042,62300.0,,18.0,109.0,85.0,,,2.0,2104,0814,1110,0822,5100.0,57400.0,1140,43954,37212,952.0,726.0
2803,2022-06-07T00:00:00.000Z,THA337,VTBS,VOMM,HS-TJV,,,,,,,26700.0,181800.0,181800.0,1516,26700.0,25.0,10.0,68.0,61.0,30.0,25.0,2.0,1529,1813,0244,1817,9000.0,17900.0,0301,43973,39149,752.0,710.0
2798,2022-06-07T00:00:00.000Z,THA325,VTBS,VOBL,HS-THB,,,,,,,24500.0,173599.0,173709.0,1415,24500.0,24.8,5.0,110.0,59.0,,,0.0,1433,1730,0257,1741,7400.0,17200.0,0326,44798,36752,93.0,87.0
2802,2022-06-07T00:00:00.000Z,THA326,VOBL,VTBS,HS-THB,,,,,,,24100.0,163000.0,162550.0,1849,24100.0,31.2,5.0,40.0,48.0,0.0,0.0,0.0,1903,2230,0327,2240,5800.0,18250.0,0351,36752,43947,87.0,81.0
2796,2022-06-07T00:00:00.000Z,THA925,EDDM,VTBS,HS-THK,,,,,,,64100.0,168800.0,168535.0,1220,64200.0,32.1,,,,,,,1235,2249,1014,2255,6400.0,57300.0,1035,44614,24857,50.0,17.0
2797,2022-06-07T00:00:00.000Z,THA961,ESSA,VTBS,HS-THD,,,,,,,74000.0,172659.0,172659.0,1245,73800.0,31.3,,,,,,,1301,2357,1056,0004,7200.0,65950.0,1119,29445,44401,60.0,
2794,2022-06-07T00:00:00.000Z,THA346,OPLA,VTBS,HS-THH,,,,,,,29900.0,172200.0,171415.0,1900,29700.0,31.9,16.0,122.0,86.0,,,,1915,2321,0406,2330,6900.0,22700.0,0430,33868,44616,58.0,43.0
2799,2022-06-07T00:00:00.000Z,THA315,VTBS,VIDP,HS-TKZ,,,,,,,39600.0,206000.0,205800.0,1102,39500.0,28.0,12.0,3.0,51.0,79.0,51.0,1.0,1118,1452,0334,1504,13200.0,26200.0,0402,37805,_____,760.0,617.0
2800,2022-06-07T00:00:00.000Z,THA332,VIDP,VTBS,HS-TKL,,,,,,,33300.0,202000.0,201893.0,2208,33200.0,,,,,,,,2229,0207,0338,0218,6800.0,25800.0,0410,20821,44217,640.0,573.0
2801,2022-06-07T00:00:00.000Z,THA331,VTBS,VIDP,HS-TKL,,,,,,,40100.0,229969.0,230047.0,1703,39700.0,,,,,,,,1723,2047,0324,2059,11800.0,28000.0,0356,44217,33818,723.0,670.0
2742,2022-06-06T00:00:00.000Z,THA322,VGHS,VTBS,HS-TQA,,,,,,,16600.0,141000.0,140814.0,0746,16700.0,24.0,5.0,43.0,40.0,,,1.0,0808,1016,0208,1020,6600.0,1000.0,0234,43125,26466,552.0,480.0
2741,2022-06-06T00:00:00.000Z,THA918,VTBS,EGLL,HS-TQD,,,,,,,69900.0,151800.0,151772.0,0551,69800.0,,22.0,106.0,67.0,0.0,0.0,1.0,0608,1758,1150,1807,7400.0,62500.0,1216,35313,43254,586.0,219.0
2732,2022-06-06T00:00:00.000Z,THA321,VTBS,VGHS,HS-TQA,,,,,,,27969.0,139000.0,138904.0,0340,28200.0,28.4,11.0,65.0,68.0,,,0.0,0355,0610,0215,0615,16900.0,112005.0,0235,26466,43125,586.0,552.0
2740,2022-06-06T00:00:00.000Z,THA623,RJBB,VTBS,HS-TTB,,,,,,,44500.0,209600.0,209800.0,0300,44300.0,29.0,,,,,,,0313,0827,0514,0834,7500.0,36900.0,0534,43949,36053,634.0,450.0
2739,2022-06-06T00:00:00.000Z,THA643,RJAA,VTBS,HS-TKL,,,,,,,48000.0,198800.0,198606.0,0255,48100.0,27.0,13.0,3.0,29.0,43.0,34.0,2.0,0310,0855,0545,0901,8000.0,40100.0,0606,32106,42648,634.0,
2738,2022-06-06T00:00:00.000Z,THA465,VTBS,YMML,HS-THF,,,,,,,53400.0,161337.0,161085.0,0148,53400.0,26.4,19.0,31.0,48.0,,,,0201,1027,0826,1040,8400.0,44750.0,0852,44186,37211,44.0,24.0
2737,2022-06-06T00:00:00.000Z,THA466,YMML,VTBS,HS-THM,,,,,,,57200.0,177000.0,170072.0,0009,57000.0,29.7,,,,,,,0023,0919,0856,0926,5500.0,51400.0,0917,37234,44338,68.0,32.0
2736,2022-06-06T00:00:00.000Z,THA645,RJGG,VTBS,HS-THG,,,,,,,35400.0,170800.0,170921.0,0150,35700.0,29.1,10.0,38.0,28.0,,,3.0,0203,0719,0516,0726,6400.0,28950.0,0536,36735,42258,40.0,31.0
2735,2022-06-06T00:00:00.000Z,THA475,VTBS,YSSY,HS-TKV,,,,,,,75000.0,215470.0,215663.0,0132,74600.0,28.0,16.0,14.0,37.0,71.0,68.0,2.0,0144,0955,0811,1009,11100.0,64000.0,0837,,,794.0,369.0
2734,2022-06-06T00:00:00.000Z,THA632,VTBS,RCTP,HS-TKO,,,,,,,35400.0,,206863.0,0138,35700.0,30.0,6.0,0.0,31.0,49.0,47.0,0.0,0148,0507,0319,0514,11200.0,24200.0,0336,38337,44262,555.0,440.0
2733,2022-06-06T00:00:00.000Z,THA633,RCTP,VTBS,HS-TKO,,,,,,,30200.0,,210228.0,0639,30000.0,26.0,8.0,0.0,22.0,52.0,44.0,1.0,0650,0949,0259,0957,8100.0,21700.0,0318,38337,44262,440.0,360.0
2727,2022-06-06T00:00:00.000Z,THA476,YSSY,VTBS,HS-TKU,,,,,,,79400.0,,212500.0,0056,79100.0,31.0,,,,,,,0133,1051,0918,1058,6800.0,72300.0,1002,43953,29442,988.0,396.0
2731,2022-06-06T00:00:00.000Z,THA416,WMKK,VTBS,HS-TWA,,,,,,,14500.0,162000.0,161700.0,0526,14400.0,28.7,,,,,,,0537,0723,0146,0731,5400.0,9200.0,0205,16262,44163,350.0,200.0
2730,2022-06-06T00:00:00.000Z,THA415,VTBS,WMKK,HS-TWA,,,,,,,17300.0,169100.0,168800.0,0209,17200.0,25.9,29.0,140.0,119.0,,,,0220,0404,0144,0414,7800.0,9600.0,0205,44163,16262,460.0,350.0
2729,2022-06-06T00:00:00.000Z,THA600,VTBS,VHHH,HS-TKM,,,,,,,25700.0,204200.0,203764.0,0114,25600.0,24.0,4.0,5.0,27.0,60.0,7.0,0.0,0134,0355,0221,0402,8500.0,16900.0,0248,43974,33810,493.0,400.0
2728,2022-06-06T00:00:00.000Z,THA601,VHHH,VTBS,HS-TKM,,,,,,,22700.0,193600.0,193642.0,0520,22700.0,31.0,14.0,11.0,23.0,67.0,69.0,2.0,0536,0743,0207,0752,7900.0,14700.0,0232,33810,43974,409.0,316.0
2726,2022-06-06T00:00:00.000Z,THA403,VTBS,WSSS,HS-THB,,,,,,,16600.0,172800.0,,0112,16700.0,,,,,,,,0133,0326,0153,0334,5700.0,11050.0,0222,44351,33874,51.0,41.0
2725,2022-06-06T00:00:00.000Z,THA404,WSSS,VTBS,HS-THB,,,,,,,16700.0,179900.0,,0441,16500.0,,,,,,,,0456,0651,0155,0657,5300.0,11250.0,0216,33874,44351,41.0,31.0
2724,2022-06-06T00:00:00.000Z,THA657,RKSI,VTBS,HS-TKN,,,,,,,43700.0,211000.0,209290.0,0116,43800.0,,21.0,8.0,56.0,115.0,103.0,1.0,0130,0621,0451,0629,8500.0,35300.0,0513,28381,44403,820.0,
2723,2022-06-06T00:00:00.000Z,THA620,VTBS,RPLL,HS-THD,,,,,,,26400.0,185100.0,185498.0,0132,26400.0,28.3,28.0,155.0,124.0,,,2.0,0143,0457,0314,0503,7600.0,18750.0,0331,36733,44253,59.0,45.0
2722,2022-06-06T00:00:00.000Z,THA621,RPLL,VTBS,HS-THD,,,,,,,21300.0,171600.0,171150.0,0613,21100.0,25.0,24.0,126.0,71.0,,,1.0,0639,0909,0230,0916,6500.0,14650.0,0303,44253,36733,45.0,29.0
2745,2022-06-06T00:00:00.000Z,THA317,VTBS,VABB,HS-TKL,,,,,,,40200.0,226630.0,227182.0,1207,1224.0,,15.0,12.0,51.0,112.0,91.0,3.0,1224,1614,0350,1621,9600.0,30200.0,0414,41945,25314,1032.0,873.0
2721,2022-06-06T00:00:00.000Z,THA927,VTSP,VTBS,HS-TKW,,,,,,,15800.0,199000.0,197081.0,0713,15900.0,23.0,7.0,4.0,13.0,20.0,19.0,,0725,0839,0114,0844,7300.0,8500.0,0131,37136,44307,537.0,502.0
2743,2022-06-06T00:00:00.000Z,THA679,ZGGG,VTBS,HS-THB,,,,,,,20100.0,171000.0,170901.0,1411,1434.0,28.3,,,,,,,1434,1655,0221,1703,6000.0,14150.0,0252,,,100.0,100.0
2744,2022-06-06T00:00:00.000Z,THA678,VTBS,ZGGG,HS-THB,,,,,,,35000.0,146330.0,146330.0,0844,35000.0,31.9,,,,,,,0855,1130,0235,1144,20500.0,14300.0,0300,,,100.0,100.0
2746,2022-06-06T00:00:00.000Z,THA318,VABB,VTBS,HS-TKL,,,,,,,36600.0,,211100.0,1757,36400.0,29.0,,,,,,,1814,2202,0348,2210,8000.0,27800.0,0413,43971,25314,846.0,749.0
2757,2022-06-06T00:00:00.000Z,THA332,VIDP,VTBS,HS-TJV,,,,,,,29567.0,165800.0,166300.0,2156,29700.0,27.0,7.0,43.0,38.0,33.0,29.0,4.0,2220,0210,0350,0221,6500.0,23100.0,0425,45598,36048,509.0,391.0
2772,2022-06-06T00:00:00.000Z,THA919,EGLL,VTSP,HS-TQD,,,,,,,59300.0,134500.0,134107.0,2049,59400.0,27.4,,,,,,,2109,0835,1126,0840,6100.0,53400.0,1151,42594,26768,470.0,253.0
2767,2022-06-06T00:00:00.000Z,THA656,VTBS,RKSI,HS-TKU,,,,,,,46500.0,232700.0,231955.0,1700,46500.0,,23.0,16.0,65.0,125.0,104.0,1.0,1711,2155,0444,2208,8100.0,38600.0,0508,32103,43951,705.0,493.0
2766,2022-06-06T00:00:00.000Z,THA960,VTBS,ESSA,HS-THD,,,,,,,78000.0,167500.0,167612.0,1801,77900.0,29.0,18.0,80.0,60.0,,,,1816,0544,1128,0554,8700.0,68700.0,1153,30931,44350,59.0,31.0
2765,2022-06-06T00:00:00.000Z,THA338,VOMM,VTBS,HS-TJW,,,,,,,25700.0,,171100.0,1944,25900.0,25.0,9.0,40.0,53.0,36.0,9.0,2.0,2003,2309,0306,2316,6500.0,19000.0,0332,30346,43124,500.0,340.0
2764,2022-06-06T00:00:00.000Z,THA924,VTBS,EDDM,HS-THK,,,,,,,70800.0,166900.0,167018.0,1750,70800.0,30.3,27.0,69.0,48.0,,,,1810,0456,1046,0504,8500.0,61950.0,1114,43478,35309,50.0,24.0
2762,2022-06-06T00:00:00.000Z,THA622,VTBS,RJBB,HS-TTC,,,,,,,44200.0,206600.0,206949.0,1710,44100.0,,1.0,29.0,61.0,27.0,20.0,1.0,1720,2231,0511,2238,8300.0,35600.0,0528,36056,40790,502.0,334.0
