"id;""pers"";""duty"";""date"";""place"";""type"";""acRegistration"""
"114;""TG33877"";""Pilot Not Flying"";""2018-11-23"";""DMK"";""Ferry Flight"";""HS-TET"""
"115;""TG33877"";""Pilot Not Flying"";""2018-11-23"";""DMK"";""Ferry Flight"";""HS-TET"""
"116;""TG44186"";""Pilot Flying"";""2018-11-23"";""DMK"";""Ferry Flight"";""HS-TET"""
"117;""TG44186"";""Pilot Flying"";""2018-11-23"";""DMK"";""Ferry Flight"";""HS-TET"""
"118;""TG30938"";""Test Pilot"";""2018-12-12"";""UTP"";""Ground Test"";""HS-TBE"""
"119;""TG36733"";""Test Pilot"";""2018-12-12"";""UTP"";""Ground Test"";""HS-TBE"""
"120;""TG42652"";""Test Engineer"";""2018-12-12"";""UTP"";""Ground Test"";""HS-TBE"""
"121;""TG44186"";""Test Engineer"";""2018-12-12"";""UTP"";""Ground Test"";""HS-TBE"""
"122;""TG39862"";""Test Engineer"";""2018-12-13"";""UTP"";""Flight Test"";""HS-TBE"""
"123;""TG30938"";""Test Pilot"";""2018-12-13"";""UTP"";""Flight Test"";""HS-TBE"""
"124;""TG36733"";""Test Pilot"";""2018-12-13"";""UTP"";""Flight Test"";""HS-TBE"""
"125;""TG42652"";""Test Engineer"";""2018-12-13"";""UTP"";""Flight Test"";""HS-TBE"""
"126;""TG44186"";""Test Engineer"";""2018-12-13"";""UTP"";""Flight Test"";""HS-TBE"""
"127;""TG28368"";""Pilot Not Flying"";""2018-12-21"";""DMK"";""Ferry Flight"";""HS-TEO"""
"128;""TG28368"";""Pilot Not Flying"";""2018-12-21"";""DMK"";""Ferry Flight"";""HS-TEO"""
"129;""TG42652"";""Pilot Flying"";""2018-12-21"";""DMK"";""Ferry Flight"";""HS-TEO"""
"130;""TG42652"";""Pilot Flying"";""2018-12-21"";""DMK"";""Ferry Flight"";""HS-TEO"""
"131;""TG39862"";""Pilot Not Flying"";""2019-01-10"";""BKK"";""Ferry Flight"";""HS-TBF"""
"132;""TG39862"";""Pilot Not Flying"";""2019-01-10"";""BKK"";""Ferry Flight"";""HS-TBF"""
"133;""TG42263"";""Pilot Flying"";""2019-01-10"";""BKK"";""Ferry Flight"";""HS-TBF"""
"134;""TG42263"";""Pilot Flying"";""2019-01-10"";""BKK"";""Ferry Flight"";""HS-TBF"""
"135;""TG37252"";""Pilot Not Flying"";""2019-01-30"";""BKK"";""Ferry Flight"";""HS-TEP"""
"136;""TG37252"";""Pilot Not Flying"";""2019-01-30"";""BKK"";""Ferry Flight"";""HS-TEP"""
"137;""TG42660"";""Pilot Flying"";""2019-01-30"";""BKK"";""Ferry Flight"";""HS-TEP"""
"138;""TG42660"";""Pilot Flying"";""2019-01-30"";""BKK"";""Ferry Flight"";""HS-TEP"""
"139;""TG38887"";""Test Pilot"";""2019-01-30"";""DMK"";""Ground Test"";""HS-TEU"""
"140;""TG42652"";""Test Engineer"";""2019-01-30"";""DMK"";""Ground Test"";""HS-TEU"""
"141;""TG42660"";""Test Engineer"";""2019-01-30"";""DMK"";""Ground Test"";""HS-TEU"""
"142;""TG42780"";""Test Engineer"";""2019-01-30"";""DMK"";""Ground Test"";""HS-TEU"""
"143;""TG38887"";""Test Pilot"";""2019-01-31"";""DMK"";""Flight Test"";""HS-TEU"""
"144;""TG42652"";""Test Engineer"";""2019-01-31"";""DMK"";""Flight Test"";""HS-TEU"""
"145;""TG42780"";""Test Engineer"";""2019-01-31"";""DMK"";""Flight Test"";""HS-TEU"""
"146;""TG33868"";""Pilot Not Flying"";""2019-02-12"";""DMK"";""Ferry Flight"";""HS-TEP"""
"147;""TG33868"";""Pilot Not Flying"";""2019-02-12"";""DMK"";""Ferry Flight"";""HS-TEP"""
"148;""TG42263"";""Pilot Flying"";""2019-02-12"";""DMK"";""Ferry Flight"";""HS-TEP"""
"149;""TG42263"";""Pilot Flying"";""2019-02-12"";""DMK"";""Ferry Flight"";""HS-TEP"""
"150;""TG30938"";""Test Pilot"";""2019-02-25"";""DMK"";""Ground Test"";""HS-TBF"""
"151;""TG30938"";""Test Pilot"";""2019-02-25"";""DMK"";""Flight Test"";""HS-TBF"""
"152;""TG35309"";""Test Pilot"";""2019-02-25"";""DMK"";""Ground Test"";""HS-TBF"""
"153;""TG35309"";""Test Pilot"";""2019-02-25"";""DMK"";""Flight Test"";""HS-TBF"""
"154;""TG42263"";""Test Engineer"";""2019-02-25"";""DMK"";""Ground Test"";""HS-TBF"""
"155;""TG42263"";""Test Engineer"";""2019-02-25"";""DMK"";""Flight Test"";""HS-TBF"""
"156;""TG33868"";""Pilot Not Flying"";""2019-03-16"";""DMK"";""Ferry Flight"";""HS-TEQ"""
"157;""TG33868"";""Pilot Not Flying"";""2019-03-16"";""DMK"";""Ferry Flight"";""HS-TEQ"""
"158;""TG42263"";""Pilot Flying"";""2019-03-16"";""DMK"";""Ferry Flight"";""HS-TEQ"""
"159;""TG42263"";""Pilot Flying"";""2019-03-16"";""DMK"";""Ferry Flight"";""HS-TEQ"""
"160;""TG38887"";""Pilot Not Flying"";""2019-03-18"";""BKK"";""Ferry Flight"";""HS-TBG"""
"161;""TG38887"";""Pilot Not Flying"";""2019-03-18"";""BKK"";""Ferry Flight"";""HS-TBG"""
"162;""TG42319"";""Pilot Flying"";""2019-03-18"";""BKK"";""Ferry Flight"";""HS-TBG"""
"163;""TG42319"";""Pilot Flying"";""2019-03-18"";""BKK"";""Ferry Flight"";""HS-TBG"""
"164;""TG38893"";""Pilot Not Flying"";""2019-03-28"";""BKK"";""Ferry Flight"";""HS-TEN"""
"165;""TG38893"";""Pilot Not Flying"";""2019-03-28"";""BKK"";""Ferry Flight"";""HS-TEN"""
"166;""TG42263"";""Pilot Flying"";""2019-03-28"";""BKK"";""Ferry Flight"";""HS-TEN"""
"167;""TG42263"";""Pilot Flying"";""2019-03-28"";""BKK"";""Ferry Flight"";""HS-TEN"""
"168;""TG36733"";""Pilot Not Flying"";""2019-04-13"";""DMK"";""Ferry Flight"";""HS-TEN"""
"169;""TG36733"";""Pilot Not Flying"";""2019-04-13"";""DMK"";""Ferry Flight"";""HS-TEN"""
"170;""TG42263"";""Pilot Flying"";""2019-04-13"";""DMK"";""Ferry Flight"";""HS-TEN"""
"171;""TG42263"";""Pilot Flying"";""2019-04-13"";""DMK"";""Ferry Flight"";""HS-TEN"""
"172;""TG35309"";""Pilot Not Flying"";""2019-04-22"";""BKK"";""Ferry Flight"";""HS-TET"""
"173;""TG35309"";""Pilot Not Flying"";""2019-04-22"";""BKK"";""Ferry Flight"";""HS-TET"""
"174;""TG42660"";""Pilot Flying"";""2019-04-22"";""BKK"";""Ferry Flight"";""HS-TET"""
"175;""TG42660"";""Pilot Flying"";""2019-04-22"";""BKK"";""Ferry Flight"";""HS-TET"""
"176;""TG37252"";""Pilot Not Flying"";""2019-04-30"";""DMK"";""Ferry Flight"";""HS-TET"""
"177;""TG37252"";""Pilot Not Flying"";""2019-04-30"";""DMK"";""Ferry Flight"";""HS-TET"""
"178;""TG42780"";""Pilot Flying"";""2019-04-30"";""DMK"";""Ferry Flight"";""HS-TET"""
"179;""TG42780"";""Pilot Flying"";""2019-04-30"";""DMK"";""Ferry Flight"";""HS-TET"""
"180;""TG39833"";""Pilot Not Flying"";""2019-05-03"";""BKK"";""Ferry Flight"";""HS-TEO"""
"181;""TG39833"";""Pilot Not Flying"";""2019-05-03"";""BKK"";""Ferry Flight"";""HS-TEO"""
"182;""TG42780"";""Pilot Flying"";""2019-05-03"";""BKK"";""Ferry Flight"";""HS-TEO"""
"183;""TG42780"";""Pilot Flying"";""2019-05-03"";""BKK"";""Ferry Flight"";""HS-TEO"""
"184;""TG37252"";""Pilot Not Flying"";""2019-05-10"";""BKK"";""Ferry Flight"";""HS-TEN"""
"185;""TG37252"";""Pilot Not Flying"";""2019-05-10"";""BKK"";""Ferry Flight"";""HS-TEN"""
