,aircraft_registration,arr,dep,flight_date,flight_number,actual_block_fuel,actual_burn,actual_flt_time,actual_fob,actual_landing_date,actual_landing_fuel,actual_landing_time,actual_off_block_date,actual_off_block_time,actual_on_block_date,actual_on_block_fuel,actual_on_block_time,actual_takeoff_date,actual_takeoff_fuel,actual_takeoff_time,actual_taxi_fuel,actual_taxi_in_fuel,actual_taxi_in_time,actual_taxi_out_time,actual_zfw,aircraft_type,company_fuel,dev_zfw,esad,eta_date,eta_time,etd_date,etd_time,excess_fuel,extra_fuel,plan_block_fuel,plan_burn,plan_flt_time,plan_landing_date,plan_landing_fuel,plan_landing_time,plan_off_block_date,plan_off_block_time,plan_on_block_date,plan_on_block_fuel,plan_on_block_time,plan_takeoff_date,plan_takeoff_time,plan_taxi_fuel,plan_taxi_in_fuel,plan_taxi_in_time,plan_taxi_out_time,plan_zfw,sta_date,sta_time,std_date,std_time
0,HS-TKN,DEL,BKK,2021/12/31,THA315,39300,27400,3:49:00,39200,2021/12/31,12200,17:06:00,2021/12/31,12:54:00,2021/12/31,11800,17:16:00,2021/12/31,38800,13:17:00,400,400,0:10:00,0:23:00,205018,B77W,1000,597,1765,2021/12/31,17:30:00,2021/12/31,13:10:00,755,5,39195,27750,3:50:00,2021/12/31,11445,17:00:00,2021/12/31,13:00:00,2021/12/31,11445,17:00:00,2021/12/31,13:10:00,600,0,0:00:00,0:10:00,204421,2021/12/31,17:30:00,2021/12/31,13:00:00
2,HS-TKN,BKK,DEL,2021/12/31,THA316,28400,21600,3:25:00,28500,2021/12/31,7300,22:34:00,2021/12/31,18:49:00,2021/12/31,6900,22:39:00,2021/12/31,27900,19:09:00,600,400,0:05:00,0:20:00,181375,B77W,0,-4546,1586,2021/12/31,22:45:00,2021/12/31,19:12:00,1951,-66,28566,23217,3:31:00,2021/12/31,5349,22:43:00,2021/12/31,18:50:00,2021/12/31,5349,22:43:00,2021/12/31,19:12:00,726,0,0:00:00,0:22:00,185921,2021/12/31,22:45:00,2021/12/31,18:50:00
4,HS-TKQ,DEL,BKK,2021/12/31,THA323,44000,29900,3:49:00,44000,2021/12/31,14600,06:16:00,2021/12/31,02:11:00,2021/12/31,14100,06:29:00,2021/12/31,43300,02:27:00,700,500,0:13:00,0:16:00,215515,B77W,1071,-2385,1744,2021/12/31,04:25:00,2021/12/31,00:10:00,-72,-267,44267,29595,3:50:00,2021/12/31,14672,04:00:00,2021/12/31,00:00:00,2021/12/31,14672,04:00:00,2021/12/31,00:10:00,600,0,0:00:00,0:10:00,217900,2021/12/31,04:25:00,2021/12/31,00:00:00
5,HS-TKQ,BKK,DEL,2021/12/31,THA324,27700,21800,3:30:00,27900,2021/12/31,6600,11:18:00,2021/12/31,07:32:00,2021/12/31,6100,11:24:00,2021/12/31,27400,07:48:00,500,500,0:06:00,0:16:00,170367,B77W,0,-1533,1628,2021/12/31,09:40:00,2021/12/31,06:02:00,1359,-72,27772,22531,3:35:00,2021/12/31,5241,09:37:00,2021/12/31,05:40:00,2021/12/31,5241,09:37:00,2021/12/31,06:02:00,726,0,0:00:00,0:22:00,171900,2021/12/31,09:40:00,2021/12/31,05:40:00
6,HS-TJV,SIN,BKK,2021/12/31,THA403,18400,11800,2:11:00,18700,2021/12/31,7000,03:24:00,2021/12/31,00:54:00,2021/12/31,6900,03:27:00,2021/12/31,18400,01:13:00,300,100,0:03:00,0:19:00,152292,B772,0,-2343,897,2021/12/31,03:15:00,2021/12/31,01:10:00,1098,-71,18471,12569,2:02:00,2021/12/31,5902,03:12:00,2021/12/31,01:00:00,2021/12/31,5902,03:12:00,2021/12/31,01:10:00,400,0,0:00:00,0:10:00,154635,2021/12/31,03:15:00,2021/12/31,01:00:00
7,HS-TJV,BKK,SIN,2021/12/31,THA404,16900,11100,1:54:00,16800,2021/12/31,5700,06:19:00,2021/12/31,04:11:00,2021/12/31,5700,06:23:00,2021/12/31,16600,04:25:00,200,Invalid,0:04:00,0:14:00,157860,B772,0,-5275,811,2021/12/31,06:45:00,2021/12/31,04:40:00,696,-267,17167,12163,1:53:00,2021/12/31,5004,06:33:00,2021/12/31,04:25:00,2021/12/31,5004,06:33:00,2021/12/31,04:40:00,405,0,0:00:00,0:15:00,163135,2021/12/31,06:45:00,2021/12/31,04:25:00
8,HS-THC,CGK,BKK,2021/12/31,THA433,34700,16080,2:57:00,34650,2021/12/31,19010,04:29:00,2021/12/31,01:13:00,2021/12/31,18570,04:37:00,2021/12/31,34270,01:32:00,380,440,0:08:00,0:19:00,148339,A359,0,24,1332,2021/12/31,04:55:00,2021/12/31,01:30:00,37,21,34679,15706,2:54:00,2021/12/31,18973,04:24:00,2021/12/31,01:20:00,2021/12/31,18973,04:24:00,2021/12/31,01:30:00,400,0,0:00:00,0:10:00,148315,2021/12/31,04:55:00,2021/12/31,01:20:00
10,HS-THC,BKK,CGK,2021/12/31,THA434,18900,14010,2:50:00,18840,2021/12/31,4940,08:42:00,2021/12/31,05:39:00,2021/12/31,4830,08:47:00,2021/12/31,18500,05:52:00,340,110,0:05:00,0:13:00,148290,A359,0,-91,1327,2021/12/31,09:35:00,2021/12/31,06:25:00,946,-8,18848,14854,2:55:00,2021/12/31,3994,09:20:00,2021/12/31,06:05:00,2021/12/31,3994,09:20:00,2021/12/31,06:25:00,500,0,0:00:00,0:20:00,148381,2021/12/31,09:35:00,2021/12/31,06:05:00
12,HS-TKY,SYD,BKK,2021/12/31,THA475,72200,62600,8:33:00,72100,2021/12/31,9800,10:34:00,2021/12/31,01:46:00,2021/12/31,9500,10:39:00,2021/12/31,71500,02:01:00,600,300,0:05:00,0:15:00,196664,B77W,0,-569,4145,2021/12/31,10:20:00,2021/12/31,01:10:00,1241,767,71333,62774,8:40:00,2021/12/31,8559,09:50:00,2021/12/31,01:00:00,2021/12/31,8559,09:50:00,2021/12/31,01:10:00,600,0,0:00:00,0:10:00,197233,2021/12/31,10:20:00,2021/12/31,01:00:00
14,HS-TKV,BKK,HKT,2021/12/30,THA478,13500,Invalid,1:05:00,13500,2021/12/31,6400,09:17:00,2021/12/31,08:02:00,2021/12/31,6200,09:23:00,2021/12/31,Invalid,08:12:00,Invalid,200,0:06:00,0:10:00,186263,B77W,0,-1737,446,2021/12/31,10:40:00,2021/12/31,09:20:00,976,-564,14064,8640,1:06:00,2021/12/31,5424,10:26:00,2021/12/31,09:10:00,2021/12/31,5424,10:26:00,2021/12/31,09:20:00,600,0,0:00:00,0:10:00,188000,2021/12/31,10:40:00,2021/12/31,09:10:00
15,HS-TKN,HKG,BKK,2021/12/31,THA600,23600,14900,1:57:00,23500,2021/12/31,8900,03:42:00,2021/12/31,01:28:00,2021/12/31,8600,03:45:00,2021/12/31,23200,01:45:00,300,300,0:03:00,0:17:00,215187,B77W,0,-380,902,2021/12/31,03:45:00,2021/12/31,01:10:00,1037,33,23567,15704,2:03:00,2021/12/31,7863,03:13:00,2021/12/31,01:00:00,2021/12/31,7863,03:13:00,2021/12/31,01:10:00,600,0,0:00:00,0:10:00,215567,2021/12/31,03:45:00,2021/12/31,01:00:00
17,HS-TKN,BKK,HKG,2021/12/31,THA601,21300,15400,2:32:00,21200,2021/12/31,5800,07:34:00,2021/12/31,04:45:01,2021/12/31,5800,07:38:00,2021/12/31,20800,05:02:00,400,Invalid,0:04:00,0:16:59,167202,B77W,0,-1444,1147,2021/12/31,07:25:00,2021/12/31,05:02:00,643,-100,21400,16243,2:34:00,2021/12/31,5157,07:36:00,2021/12/31,04:45:00,2021/12/31,5157,07:36:00,2021/12/31,05:02:00,600,0,0:00:00,0:17:00,168646,2021/12/31,07:25:00,2021/12/31,04:45:00
18,HS-TKK,HKG,BKK,2021/12/31,THA606,21200,14700,1:59:00,21200,2021/12/31,7000,10:52:00,2021/12/31,08:41:00,2021/12/31,6500,11:00:00,2021/12/31,21100,08:53:00,100,500,0:08:00,0:12:00,208992,B77W,0,-1924,895,2021/12/31,11:45:00,2021/12/31,09:00:00,1186,-60,21260,15446,2:02:00,2021/12/31,5814,11:02:00,2021/12/31,08:50:00,2021/12/31,5814,11:02:00,2021/12/31,09:00:00,600,0,0:00:00,0:10:00,210916,2021/12/31,11:45:00,2021/12/31,08:50:00
20,HS-TKK,BKK,HKG,2021/12/31,THA607,22000,15500,2:29:00,22100,2021/12/31,6800,14:59:00,2021/12/31,12:14:00,2021/12/31,6600,15:03:00,2021/12/31,21600,12:30:00,500,200,0:04:00,0:16:00,167916,B77W,0,416,1151,2021/12/31,15:49:00,2021/12/31,13:02:00,1616,289,21711,16527,2:34:00,2021/12/31,5184,15:36:00,2021/12/31,12:45:00,2021/12/31,5184,15:36:00,2021/12/31,13:02:00,600,0,0:00:00,0:17:00,167500,2021/12/31,15:49:00,2021/12/31,12:45:00
22,HS-TQA,MNL,BKK,2021/12/31,THA620,18600,12400,2:55:00,18600,2021/12/31,Invalid,04:02:00,2021/12/31,00:53:00,2021/12/31,6300,04:09:00,2021/12/31,Invalid,01:07:00,Invalid,Invalid,0:07:00,0:14:00,127380,B788,1331,-2560,1244,2021/12/31,03:55:00,2021/12/31,00:55:00,-5735,-159,18759,13024,2:47:00,2021/12/31,5735,03:42:00,2021/12/31,00:45:00,2021/12/31,5735,03:42:00,2021/12/31,00:55:00,300,0,0:00:00,0:10:00,129940,2021/12/31,03:55:00,2021/12/31,00:45:00
23,HS-TQA,BKK,MNL,2021/12/31,THA621,17000,12036,2:52:00,17000,2021/12/31,Invalid,08:14:00,2021/12/31,05:01:00,2021/12/31,5100,08:18:00,2021/12/31,Invalid,05:22:00,Invalid,Invalid,0:04:00,0:21:00,124137,B788,0,197,1290,2021/12/31,08:45:00,2021/12/31,05:26:00,-3556,-33,17033,13477,2:54:00,2021/12/31,3556,08:20:00,2021/12/31,05:10:00,2021/12/31,3556,08:20:00,2021/12/31,05:26:00,336,0,0:00:00,0:16:00,123940,2021/12/31,08:45:00,2021/12/31,05:10:00
24,HS-TQC,KIX,BKK,2021/12/31,THA622,25300,Invalid,0:00:00,25300,0001/01/01,Invalid,00:00:00,2021/12/31,16:59:00,2021/12/31,Invalid,22:20:00,0001/01/01,Invalid,00:00:00,Invalid,Invalid,17715718:20:00,Invalid,132032,B788,0,317,2158,2021/12/31,22:20:00,2021/12/31,17:09:00,-3724,104,25196,21472,4:41:00,2021/12/31,3724,21:50:00,2021/12/31,16:59:00,2021/12/31,3724,21:50:00,2021/12/31,17:09:00,300,0,0:00:00,0:10:00,131715,2021/12/31,22:20:00,2021/12/31,16:59:00
25,HS-TQC,BKK,KIX,2021/12/31,THA623,31300,26100,0:00:00,31300,1000/01/01,Invalid,00:00:00,2021/12/31,01:44:00,2021/12/31,5300,07:54:00,1000/01/01,Invalid,00:00:00,Invalid,Invalid,8958655:54:00,Invalid,134303,B788,0,116,2777,2021/12/31,08:45:00,2021/12/31,02:15:00,-3862,-65,31365,27503,5:49:00,2021/12/31,3862,08:04:00,2021/12/31,02:00:00,2021/12/31,3862,08:04:00,2021/12/31,02:15:00,315,0,0:00:00,0:15:00,134187,2021/12/31,08:45:00,2021/12/31,02:00:00
26,HS-TKP,TPE,BKK,2021/12/31,THA632,32200,21800,3:00:00,32100,2021/12/31,10500,04:29:00,2021/12/31,01:07:00,2021/12/31,10300,04:33:00,2021/12/31,31500,01:29:00,600,200,0:04:00,0:22:00,198979,B77W,0,-173,1370,2021/12/31,04:45:00,2021/12/31,01:25:00,694,161,31939,22133,3:02:00,2021/12/31,9806,04:27:00,2021/12/31,01:15:00,2021/12/31,9806,04:27:00,2021/12/31,01:25:00,600,0,0:00:00,0:10:00,199152,2021/12/31,04:45:00,2021/12/31,01:15:00
28,HS-TKP,BKK,TPE,2021/12/31,THA633,32159,25400,3:24:00,32300,2021/12/31,7500,09:43:00,2021/12/31,06:00:00,2021/12/31,6900,10:10:00,2021/12/31,31700,06:19:00,600,600,0:27:00,0:19:00,207221,B77W,0,-1035,1606,2021/12/31,10:10:00,2021/12/31,06:38:00,1676,93,32066,26242,3:30:00,2021/12/31,5824,10:08:00,2021/12/31,06:15:00,2021/12/31,5824,10:08:00,2021/12/31,06:38:00,759,0,0:00:00,0:23:00,208256,2021/12/31,10:10:00,2021/12/31,06:15:00
29,HS-THJ,HKG,BKK,2021/12/31,THA638,17200,11660,2:08:00,16970,2021/12/31,5490,09:42:00,2021/12/31,07:26:00,2021/12/31,5310,09:50:00,2021/12/31,16330,07:34:00,640,180,0:08:00,0:08:00,167459,A359,0,-1463,896,2021/12/31,09:45:00,2021/12/31,07:10:00,-129,-3,17203,11584,2:01:00,2021/12/31,5619,09:11:00,2021/12/31,07:00:00,2021/12/31,5619,09:11:00,2021/12/31,07:10:00,400,0,0:00:00,0:10:00,168922,2021/12/31,09:45:00,2021/12/31,07:00:00
30,HS-THJ,BKK,HKG,2021/12/31,THA639,17825,13420,2:33:00,17760,2021/12/31,4490,13:42:00,2021/12/31,10:52:00,2021/12/31,4340,13:48:00,2021/12/31,17250,11:09:00,510,150,0:06:00,0:17:00,155233,A359,0,-2572,1146,2021/12/31,13:40:00,2021/12/31,11:12:00,350,-10,17835,13695,2:31:00,2021/12/31,4140,13:43:00,2021/12/31,10:55:00,2021/12/31,4140,13:43:00,2021/12/31,11:12:00,425,0,0:00:00,0:17:00,157805,2021/12/31,13:40:00,2021/12/31,10:55:00
31,HS-TKQ,BKK,CAN,2021/12/31,THA669,26100,18000,2:41:00,25700,2022/01/01,8000,00:00:00,2021/12/31,20:54:00,2022/01/01,7700,00:06:00,2021/12/31,25100,21:19:00,600,300,0:06:00,0:25:00,182079,B77W,0,-921,1233,2021/12/31,23:10:00,2021/12/31,20:19:00,1770,375,25325,19095,2:46:00,2021/12/31,6230,23:05:00,2021/12/31,19:50:00,2021/12/31,6230,23:05:00,2021/12/31,20:19:00,957,0,0:00:00,0:29:00,183000,2021/12/31,23:10:00,2021/12/31,19:50:00
32,HS-THC,CAN,BKK,2021/12/31,THA678,35300,14320,0:00:00,35400,0001/01/01,21360,00:00:00,2021/12/31,16:15:00,2021/12/31,21080,18:55:00,0001/01/01,35200,00:00:00,200,280,17715714:55:00,Invalid,165702,A359,0,-4298,1044,2021/12/31,18:55:00,2021/12/31,16:25:00,476,-184,35584,14700,2:22:00,2021/12/31,20884,18:47:00,2021/12/31,16:15:00,2021/12/31,20884,18:47:00,2021/12/31,16:25:00,400,0,0:00:00,0:10:00,170000,2021/12/31,18:55:00,2021/12/31,16:15:00
33,HS-TKQ,CAN,BKK,2021/12/31,THA668,44200,17800,2:18:00,44100,2021/12/31,27100,17:54:00,2021/12/31,15:15:00,2021/12/31,26300,18:08:00,2021/12/31,43700,15:36:00,400,800,0:14:00,0:21:00,196141,B77W,0,-19859,1051,2021/12/31,18:10:00,2021/12/31,15:40:00,1475,-1355,45555,19930,2:23:00,2021/12/31,25625,18:03:00,2021/12/31,15:30:00,2021/12/31,25625,18:03:00,2021/12/31,15:40:00,600,0,0:00:00,0:10:00,216000,2021/12/31,18:10:00,2021/12/31,15:30:00
34,HS-TJS,BKK,NRT,2021/12/31,THA643,49605,41100,6:44:00,49900,2021/12/31,8900,09:35:00,2021/12/31,02:30:00,2021/12/31,8800,09:38:00,2021/12/31,49200,02:51:00,700,100,0:03:00,0:21:00,158795,B772,0,295,3266,2021/12/31,10:05:00,2021/12/31,03:00:00,3270,40,49565,43935,6:57:00,2021/12/31,5630,09:57:00,2021/12/31,02:45:00,2021/12/31,5630,09:57:00,2021/12/31,03:00:00,405,0,0:00:00,0:15:00,158500,2021/12/31,10:05:00,2021/12/31,02:45:00
36,HS-THD,BKK,ICN,2021/12/31,THA657,35650,30130,5:30:00,35560,2021/12/31,5490,07:25:00,2021/12/31,01:35:00,2021/12/31,5430,07:33:00,2021/12/31,35040,01:55:00,520,60,0:08:00,0:20:00,170732,A359,0,-321,2599,2021/12/31,07:45:00,2021/12/31,02:08:00,977,114,35446,30933,5:29:00,2021/12/31,4513,07:37:00,2021/12/31,01:50:00,2021/12/31,4513,07:37:00,2021/12/31,02:08:00,450,0,0:00:00,0:18:00,171053,2021/12/31,07:45:00,2021/12/31,01:50:00
37,HS-THN,ICN,BKK,2021/12/31,THA656,28000,23180,4:25:00,27840,2021/12/31,4920,21:13:00,2021/12/31,16:36:00,2021/12/31,4660,21:26:00,2021/12/31,27340,16:48:00,500,260,0:13:00,0:12:00,159370,A359,0,-1870,2128,2021/12/31,21:55:00,2021/12/31,16:40:00,756,78,27922,23758,4:32:00,2021/12/31,4164,21:12:00,2021/12/31,16:30:00,2021/12/31,4164,21:12:00,2021/12/31,16:40:00,400,0,0:00:00,0:10:00,161240,2021/12/31,21:55:00,2021/12/31,16:30:00
39,HS-TQF,BKK,NGO,2021/12/31,THA645,29900,24700,6:14:00,29900,2021/12/31,Invalid,07:57:00,2021/12/31,01:33:00,2021/12/31,5200,08:03:00,2021/12/31,Invalid,01:43:00,Invalid,Invalid,0:06:00,0:10:00,120914,B788,0,14,2869,2021/12/31,08:40:00,2021/12/31,02:13:00,-3998,27,29873,25875,6:06:00,2021/12/31,3998,08:19:00,2021/12/31,02:00:00,2021/12/31,3998,08:19:00,2021/12/31,02:13:00,300,0,0:00:00,0:13:00,120900,2021/12/31,08:40:00,2021/12/31,02:00:00
40,HS-TJS,NRT,BKK,2021/12/31,THA642,38200,30700,5:05:00,38100,2021/12/31,7500,22:14:00,2021/12/31,16:49:00,2021/12/31,7400,22:20:00,2021/12/31,37400,17:09:00,700,100,0:06:00,0:20:00,163679,B772,0,-1826,2399,2021/12/31,22:40:00,2021/12/31,17:05:00,2342,-273,38473,33315,5:13:00,2021/12/31,5158,22:18:00,2021/12/31,16:55:00,2021/12/31,5158,22:18:00,2021/12/31,17:05:00,400,0,0:00:00,0:10:00,165505,2021/12/31,22:40:00,2021/12/31,16:55:00
41,HS-THC,BKK,CAN,2021/12/31,THA679,20625,15480,0:00:00,20470,0001/01/01,5130,00:00:00,2021/12/31,20:35:00,2021/12/31,4990,23:55:00,0001/01/01,19890,00:00:00,580,140,17715719:55:00,Invalid,169509,A359,0,-2491,1228,2021/12/31,23:55:00,2021/12/31,21:04:00,389,41,20584,15843,2:43:00,2021/12/31,4741,23:47:00,2021/12/31,20:35:00,2021/12/31,4741,23:47:00,2021/12/31,21:04:00,725,0,0:00:00,0:29:00,172000,2021/12/31,23:55:00,2021/12/31,20:35:00
42,HS-TKW,BKK,LHR,2021/12/31,THA911,83500,75500,10:39:00,83600,2021/12/31,8200,22:42:00,2021/12/31,11:52:00,2021/12/31,8100,22:49:00,2021/12/31,83200,12:03:00,400,100,0:07:00,0:11:00,198749,B77W,0,-890,5128,2021/12/31,23:15:00,2021/12/31,12:08:00,1805,-16,83516,77121,10:56:00,2021/12/31,6395,23:04:00,2021/12/31,11:50:00,2021/12/31,6395,23:04:00,2021/12/31,12:08:00,600,0,0:00:00,0:18:00,199639,2021/12/31,23:15:00,2021/12/31,11:50:00
44,HS-THL,HKT,BKK,2021/12/31,THA918,55100,7900,1:10:00,55020,2021/12/31,47400,15:29:00,2021/12/31,14:00:01,2021/12/31,47120,15:36:00,2021/12/31,54860,14:19:00,160,280,0:07:00,0:18:59,158507,A359,0,-4433,509,2021/12/31,15:30:00,2021/12/31,14:10:00,5340,4497,50523,8463,1:13:00,2021/12/31,42060,15:23:00,2021/12/31,14:00:00,2021/12/31,42060,15:23:00,2021/12/31,14:10:00,400,0,0:00:00,0:10:00,162940,2021/12/31,15:30:00,2021/12/31,14:00:00
45,HS-TKZ,BKK,HKT,2021/12/30,THA919,12800,Invalid,0:55:00,12800,2021/12/31,6700,02:01:00,2021/12/31,00:59:00,2021/12/31,6500,02:07:00,2021/12/31,Invalid,01:06:00,Invalid,200,0:06:00,0:07:00,181717,B77W,0,-2453,441,2021/12/31,02:40:00,2021/12/31,01:20:00,1412,-745,13545,8257,1:05:00,2021/12/31,5288,02:25:00,2021/12/31,01:10:00,2021/12/31,5288,02:25:00,2021/12/31,01:20:00,600,0,0:00:00,0:10:00,184170,2021/12/31,02:40:00,2021/12/31,01:10:00
46,HS-TKZ,FRA,BKK,2021/12/31,THA920,104900,95200,11:59:00,104800,2022/01/01,9800,04:50:00,2021/12/31,16:33:00,2022/01/01,9600,04:58:00,2021/12/31,104500,16:51:00,300,200,0:08:00,0:18:00,212141,B77W,0,119,5810,2022/01/01,04:55:00,2021/12/31,16:50:00,2108,-29,104829,97137,12:15:00,2022/01/01,7692,05:05:00,2021/12/31,16:40:00,2022/01/01,7692,05:05:00,2021/12/31,16:50:00,600,0,0:00:00,0:10:00,212022,2022/01/01,04:55:00,2021/12/31,16:40:00
48,HS-TKX,HKT,FRA,2021/12/31,THA927,88800,81200,10:13:00,89000,2021/12/31,7900,23:47:00,2021/12/31,12:59:00,2021/12/31,7800,23:50:00,2021/12/31,88300,13:34:00,700,100,0:03:00,0:35:00,222972,B77W,500,-628,4875,2021/12/31,23:59:00,2021/12/31,13:03:00,208,56,88944,81252,10:22:00,2021/12/31,7692,23:25:00,2021/12/31,12:45:00,2021/12/31,7692,23:25:00,2021/12/31,13:03:00,600,0,0:00:00,0:18:00,223600,2021/12/31,23:59:00,2021/12/31,12:45:00
50,HS-THE,BRU,BKK,2021/12/31,THA934,79800,Invalid,12:27:00,79750,2021/12/31,Invalid,18:40:00,2021/12/31,05:52:00,2021/12/31,Invalid,18:46:00,2021/12/31,78850,06:13:00,900,Invalid,0:06:00,0:21:00,167619,A359,500,-1003,5984,2021/12/31,18:30:00,2021/12/31,06:05:00,-6123,223,79527,73404,12:29:00,2021/12/31,6123,18:34:00,2021/12/31,05:55:00,2021/12/31,6123,18:34:00,2021/12/31,06:05:00,400,0,0:00:00,0:10:00,168622,2021/12/31,18:30:00,2021/12/31,05:55:00
52,HS-THF,HKT,CDG,2021/12/31,THA939,66650,Invalid,10:39:00,66750,2021/12/31,6620,23:51:00,2021/12/31,12:52:00,2021/12/31,Invalid,23:55:00,2021/12/31,66300,13:12:00,450,Invalid,0:04:00,0:20:00,170725,A359,500,-1796,5105,2021/12/31,23:50:00,2021/12/31,12:38:00,983,-42,66792,61155,10:41:00,2021/12/31,5637,23:19:00,2021/12/31,12:20:00,2021/12/31,5637,23:19:00,2021/12/31,12:38:00,450,0,0:00:00,0:18:00,172521,2021/12/31,23:50:00,2021/12/31,12:20:00
54,HS-THD,HKT,BKK,2021/12/31,THA962,43400,7780,1:11:00,43390,2021/12/31,35990,15:35:00,2021/12/31,14:06:00,2021/12/31,35610,15:42:00,2021/12/31,43310,14:24:00,80,380,0:07:00,0:18:00,168249,A359,0,124,510,2021/12/31,15:35:00,2021/12/31,14:15:00,1115,1,43389,8514,1:13:00,2021/12/31,34875,15:28:00,2021/12/31,14:05:00,2021/12/31,34875,15:28:00,2021/12/31,14:15:00,400,0,0:00:00,0:10:00,168125,2021/12/31,15:35:00,2021/12/31,14:05:00
55,HS-THK,HKT,CPH,2021/12/31,THA953,69100,62240,10:16:00,69050,2021/12/31,6890,23:34:00,2021/12/31,13:04:00,2021/12/31,6810,23:40:00,2021/12/31,69040,13:18:00,10,80,0:06:00,0:14:00,182963,A359,500,-2381,4880,2021/12/31,23:55:00,2021/12/31,13:04:00,992,-25,69125,63227,10:18:00,2021/12/31,5898,23:22:00,2021/12/31,12:50:00,2021/12/31,5898,23:22:00,2021/12/31,13:04:00,400,0,0:00:00,0:14:00,185344,2021/12/31,23:55:00,2021/12/31,12:50:00
56,HS-THD,ARN,HKT,2021/12/31,THA962,84700,76410,12:43:00,84630,2022/01/01,8380,06:06:00,2021/12/31,17:10:00,2022/01/01,8220,06:12:00,2021/12/31,83900,17:23:00,730,160,0:06:00,0:13:00,167937,A359,500,312,6118,2022/01/01,05:55:00,2021/12/31,17:15:00,665,1283,83347,75632,12:44:00,2022/01/01,7715,05:59:00,2021/12/31,17:05:00,2022/01/01,7715,05:59:00,2021/12/31,17:15:00,400,0,0:00:00,0:10:00,167625,2022/01/01,05:55:00,2021/12/31,17:05:00
57,HS-THL,LHR,HKT,2021/12/31,THA918,83200,77200,13:09:00,83140,2022/01/01,6190,06:21:00,2021/12/31,17:04:00,2022/01/01,5940,06:28:00,2021/12/31,82740,17:12:00,400,250,0:07:00,0:08:00,170329,A359,409,-2611,6282,2022/01/01,06:20:00,2021/12/31,17:09:00,564,-498,83698,78072,13:05:00,2022/01/01,5626,06:14:00,2021/12/31,16:59:00,2022/01/01,5626,06:14:00,2021/12/31,17:09:00,400,0,0:00:00,0:10:00,172940,2022/01/01,06:20:00,2021/12/31,16:59:00
58,HS-TKP,DEL,BKK,2021/12/30,THA315,37900,Invalid,3:50:00,38000,2021/12/30,11600,17:00:00,2021/12/30,12:56:00,2021/12/30,Invalid,17:13:00,2021/12/30,37700,13:10:00,300,Invalid,0:13:00,0:14:00,190970,B77W,967,-1651,1800,2021/12/30,17:30:00,2021/12/30,13:10:00,281,-656,38656,27337,3:55:00,2021/12/30,11319,17:05:00,2021/12/30,13:00:00,2021/12/30,11319,17:05:00,2021/12/30,13:10:00,600,0,0:00:00,0:10:00,192621,2021/12/30,17:30:00,2021/12/30,13:00:00
60,HS-TKP,BKK,DEL,2021/12/30,THA316,28326,21200,3:30:00,28300,2021/12/30,7400,21:55:00,2021/12/30,18:10:00,2021/12/30,7100,21:59:00,2021/12/30,27800,18:25:00,500,300,0:04:00,0:15:00,168592,B77W,0,-6029,1604,2021/12/30,22:45:00,2021/12/30,19:12:00,1297,-454,28780,22677,3:33:00,2021/12/30,6103,22:45:00,2021/12/30,18:50:00,2021/12/30,6103,22:45:00,2021/12/30,19:12:00,726,0,0:00:00,0:22:00,174621,2021/12/30,22:45:00,2021/12/30,18:50:00
61,HS-THF,DAC,BKK,2021/12/30,THA321,29900,12270,2:02:00,29850,2021/12/30,17820,07:17:00,2021/12/30,04:55:00,2021/12/30,17580,07:26:00,2021/12/30,29180,05:15:00,670,240,0:09:00,0:20:00,166519,A359,2547,-6531,908,2021/12/30,07:40:00,2021/12/30,05:15:00,42,-341,30241,12463,2:01:00,2021/12/30,17778,07:16:00,2021/12/30,05:05:00,2021/12/30,17778,07:16:00,2021/12/30,05:15:00,400,0,0:00:00,0:10:00,173050,2021/12/30,07:40:00,2021/12/30,05:05:00
62,HS-THF,BKK,DAC,2021/12/30,THA322,17500,Invalid,2:05:00,17500,2021/12/30,5180,12:22:00,2021/12/30,09:47:01,2021/12/30,5090,12:28:00,2021/12/30,16400,10:17:00,Invalid,90,0:06:00,0:29:59,171337,A359,0,-218,928,2021/12/30,11:30:00,2021/12/30,10:05:00,826,22,17478,13124,2:05:00,2021/12/30,4354,12:10:00,2021/12/30,09:05:00,2021/12/30,4354,12:10:00,2021/12/30,10:05:00,1500,0,0:00:00,1:00:00,171555,2021/12/30,11:30:00,2021/12/30,09:05:00
63,HS-TKO,MAA,BKK,2021/12/30,THA337,32400,21500,3:06:00,32400,2021/12/30,11400,18:54:00,2021/12/30,15:28:00,2021/12/30,10900,19:03:00,2021/12/30,31700,15:48:00,700,500,0:09:00,0:20:00,180382,B77W,0,-9118,1406,2021/12/30,19:00:00,2021/12/30,15:35:00,466,-817,33217,22283,3:06:00,2021/12/30,10934,18:41:00,2021/12/30,15:25:00,2021/12/30,10934,18:41:00,2021/12/30,15:35:00,600,0,0:00:00,0:10:00,189500,2021/12/30,19:00:00,2021/12/30,15:25:00
