,departure_aerodrome_icao_code,arrival_aerodrome_icao_code,aircraft_registration,flight_date,flight_number,landing_time,flight_time,onblock_time,onblock_fuel,block_time,pf,pm,pc1,pc2
365,RJGG,VTBS,HS-THF,2022-05-27T00:00:00.000Z,THA645,0749,0534,0756,5700.0,0558,44279,28382,,
366,VTBS,VIDP,HS-TKM,2022-05-19T00:00:00.000Z,THA315,1459,0350,1510,11300.0,0414,44311,34101,44299,
367,VTBS,ZGGG,HS-TKN,2022-05-26T00:00:00.000Z,THA678,1133,0231,1145,25800.0,0251,44311,24863,,
368,ZGGG,VTBS,HS-TKN,2022-05-26T00:00:00.000Z,THA679,1710,0219,1730,9900.0,0252,44311,24863,,
369,EGLL,VTBS,HS-TTA,2022-05-17T00:00:00.000Z,THA911,2319,1104,2325,8100.0,1128,43492,25314,44255,
370,VTBS,VABB,HS-TKR,2022-05-24T00:00:00.000Z,THA317,1549,0343,1556,11400.0,0401,37784,26948,44255,
371,VABB,VTBS,HS-TKR,2022-05-24T00:00:00.000Z,THA318,2209,0348,2221,7300.0,0414,26948,37784,44255,
372,VTBS,VHHH,HS-TTB,2022-05-27T00:00:00.000Z,THA600,0343,0217,0357,7700.0,0247,41948,40515,,
373,RJBB,VTBS,HS-TKM,2022-05-26T00:00:00.000Z,THA623,0754,0519,0802,6900.0,0536,36048,43958,,
374,VTBS,RJBB,HS-TKM,2022-05-24T00:00:00.000Z,THA622,2213,0459,2219,5900.0,0522,43958,36048,,
375,VHHH,VTBS,HS-TTB,2022-05-27T00:00:00.000Z,THA601,0741,0221,0750,7300.0,0245,40515,41948,,
376,VTBS,EGLL,HS-TTC,2022-05-26T00:00:00.000Z,THA910,0650,1215,0658,10800.0,1243,44178,40300,44414,
377,OPLA,VTBS,HS-THB,2022-05-26T00:00:00.000Z,THA346,2313,0400,2319,6400.0,0435,43481,30931,20826,
378,VTBS,OPLA,HS-THB,2022-05-26T00:00:00.000Z,THA345,1707,0405,1713,29300.0,0424,30931,43481,20826,
379,VIDP,VTBS,HS-TJV,2022-05-26T00:00:00.000Z,THA332,0228,0340,0236,6200.0,0407,43823,29442,44400,
380,VTBS,WMKK,HS-TWB,2022-05-27T00:00:00.000Z,THA415,0409,0145,0418,5000.0,0206,44174,36768,,
381,WMKK,VTBS,HS-TWB,2022-05-27T00:00:00.000Z,THA416,0729,0146,0740,5500.0,0207,36768,44174,,
382,VTBS,EKCH,HS-TKX,2022-05-26T00:00:00.000Z,THA950,0556,1116,0607,8100.0,1139,42597,38014,43420,
383,WMKK,VTBS,HS-TWA,2022-05-26T00:00:00.000Z,THA416,0715,0140,0721,5300.0,0156,39151,43969,,
384,VTBS,LFPG,HS-TWB,2022-05-17T00:00:00.000Z,THA930,0535,1156,0553,7500.0,1224,44165,34099,42318,
385,VTBS,LSZH,HS-TQF,2022-05-24T00:00:00.000Z,THA970,0541,1126,0547,6100.0,1146,42318,24868,44152,
386,VTBS,RKSI,HS-TKL,2022-05-24T00:00:00.000Z,THA656,2141,0438,2152,9000.0,0504,37138,44412,,
387,RKSI,VTBS,HS-TKL,2022-05-26T00:00:00.000Z,THA657,0701,0503,0713,7000.0,0526,44412,37138,,
388,OPKC,VTBS,HS-TQA,2022-05-24T00:00:00.000Z,THA342,2322,0424,2332,7700.0,0449,42638,34099,43398,
389,EDDM,VTBS,HS-THM,2022-05-26T00:00:00.000Z,THA925,2242,1004,2250,7200.0,1025,44193,37223,44225,
390,VOBL,VTBS,HS-THC,2022-05-26T00:00:00.000Z,THA326,2247,0319,2300,5600.0,0357,44253,36752,42571,
391,VTBS,VOBL,HS-THC,2022-05-26T00:00:00.000Z,THA325,1751,0312,1805,6200.0,0339,42571,36752,44253,
392,EDDF,VTBS,HS-TKV,2022-05-26T00:00:00.000Z,THA921,2349,1007,2356,9300.0,1029,42620,34103,43413,
393,EGLL,VTBS,HS-TTB,2022-05-26T00:00:00.000Z,THA911,2317,1105,2325,10200.0,1130,44285,26953,44286,
394,VABB,VTBS,HS-THL,2022-05-26T00:00:00.000Z,THA318,2206,0354,2216,6100.0,0416,30951,44295,26775,
395,VTBS,RJBB,HS-TKL,2022-05-26T00:00:00.000Z,THA622,2245,0451,2252,7700.0,0510,44263,40519,,
396,VTBS,VABB,HS-THL,2022-05-26T00:00:00.000Z,THA317,1618,0349,1629,8400.0,0427,44295,30951,26775,
397,VTBS,YMML,HS-THD,2022-05-26T00:00:00.000Z,THA465,1015,0819,1024,8400.0,0844,35306,44614,43833,
398,LSZH,VTBS,HS-TQF,2022-05-25T00:00:00.000Z,THA971,2216,1019,2224,6400.0,1046,33816,42595,44793,
399,EKCH,VTBS,HS-TKZ,2022-05-25T00:00:00.000Z,THA951,2303,1016,2310,9900.0,1045,32108,44250,44403,
400,VTBS,EGLL,HS-TTA,2022-05-19T00:00:00.000Z,THA910,0655,1230,0736,10000.0,1332,42255,33845,45596,
401,VTBS,WADD,HS-TQF,2022-05-26T00:00:00.000Z,THA431,0745,0457,0750,18500.0,0518,42581,38009,,
402,VTBS,VIDP,HS-TKM,2022-05-26T00:00:00.000Z,THA315,1455,0347,1507,10800.0,0416,45143,33146,43503,
403,VTBS,LFPG,HS-TWB,2022-05-21T00:00:00.000Z,THA930,0545,1212,0556,6600.0,1239,44212,26453,43117,
404,WADD,VTBS,HS-TQF,2022-05-26T00:00:00.000Z,THA432,1313,0338,1322,6000.0,0404,42581,38009,,
405,YMML,VTBS,HS-THJ,2022-05-26T00:00:00.000Z,THA466,0851,0852,0858,5200.0,0914,43931,33874,40806,
406,VHHH,VTBS,HS-THH,2022-05-26T00:00:00.000Z,THA639,1257,0215,1306,4500.0,0241,37216,43946,,
407,VTBS,VHHH,HS-THH,2022-05-26T00:00:00.000Z,THA638,0910,0212,0915,5800.0,0228,43946,37216,,
408,VTBS,RJAA,HS-THH,2022-05-23T00:00:00.000Z,THA642,2232,0536,2245,5300.0,0601,36735,42258,,
409,RJAA,VTBS,HS-THH,2022-05-25T00:00:00.000Z,THA643,0920,0626,0927,6200.0,0646,42258,36735,,
410,VTBS,ZPPP,HS-TJV,2022-05-26T00:00:00.000Z,THA612,0522,0153,0529,18100.0,0211,26309,43972,,
411,ZPPP,VTBS,HS-TJV,2022-05-26T00:00:00.000Z,THA613,0942,0154,0950,7500.0,0221,43972,26309,,
412,VTBS,RKSI,HS-TKL,2022-05-25T00:00:00.000Z,THA656,2148,0447,2159,6700.0,0512,38388,40293,,
413,VTBS,LFPG,HS-TWB,2022-05-25T00:00:00.000Z,THA930,0520,1147,0534,7000.0,1218,42593,30334,43119,
414,VTBS,YMML,HS-THJ,2022-05-25T00:00:00.000Z,THA465,1210,0827,1217,8800.0,0847,41929,33155,44808,
415,EDDF,VTBS,HS-TKW,2022-05-25T00:00:00.000Z,THA921,2319,1013,2328,7400.0,1035,33633,43494,44244,
416,RJAA,VTBS,HS-TJW,2022-05-25T00:00:00.000Z,THA641,0810,0626,0827,6400.0,0656,26105,43949,,
417,VTBS,RJAA,HS-TJT,2022-05-23T00:00:00.000Z,THA640,2109,0538,2122,6700.0,0602,43949,26105,,
418,VTBS,VOMM,HS-TQC,2022-05-24T00:00:00.000Z,THA337,1820,0242,1826,7700.0,0257,36046,43948,44174,
419,ESSA,VTBS,HS-THE,2022-05-17T00:00:00.000Z,THA961,2324,1040,2329,6300.0,1104,43481,26468,42571,
420,VOBL,VTBS,HS-THL,2022-05-24T00:00:00.000Z,THA326,2228,0320,2239,5500.0,0343,43403,33563,44201,
421,ZGGG,VTBS,HS-THF,2022-05-20T00:00:00.000Z,THA679,1651,0228,1702,5900.0,0254,36738,42571,,
422,VTBS,ZGGG,HS-THF,2022-05-20T00:00:00.000Z,THA678,1120,0228,1133,20100.0,0256,42571,36738,,
