,departure_aerodrome_icao_code,arrival_aerodrome_icao_code,aircraft_registration,flight_date,flight_number,landing_time,flight_time,onblock_time,onblock_fuel,block_time,pf,pm,pc1,pc2
541,RJAA,VTBS,HS-TJT,2022-05-24T00:00:00.000Z,THA641,0753,0611,0757,8000.0,0627,42597,36766,,
542,VTBS,WMKK,HS-TWA,2022-05-24T00:00:00.000Z,THA415,0402,0148,0414,6800.0,0214,44797,39151,,
543,WMKK,VTBS,HS-TWA,2022-05-24T00:00:00.000Z,THA416,0719,0140,0730,6000.0,0203,39151,44797,,
544,VTBS,WMKK,HS-TWB,2022-05-23T00:00:00.000Z,THA415,0419,0141,0427,5300.0,0203,43948,33637,,
545,WMKK,VTBS,HS-TWB,2022-05-23T00:00:00.000Z,THA416,0732,0147,0741,6100.0,0207,33637,43948,,
546,VTBS,VHHH,HS-TTC,2022-05-24T00:00:00.000Z,THA600,0316,0212,0324,8400.0,0231,43315,40300,,
547,VHHH,VTBS,HS-TTC,2022-05-24T00:00:00.000Z,THA601,0708,0212,0717,7700.0,0242,40300,43315,,
548,YMML,VTBS,HS-THB,2022-05-24T00:00:00.000Z,THA466,0851,0841,0858,7800.0,0902,44338,26870,44339,
549,VTBS,EDDF,HS-TKY,2022-05-22T00:00:00.000Z,THA926,1724,1146,1734,8800.0,1212,43499,39835,43495,
550,RCTP,VTBS,HS-TKL,2022-05-23T00:00:00.000Z,THA633,0950,0305,0958,6700.0,0328,37131,44258,,
551,VTBS,RCTP,HS-TKL,2022-05-23T00:00:00.000Z,THA632,0451,0308,0458,10700.0,0328,44258,37131,,
552,VTBS,RKSI,HS-TKW,2022-05-23T00:00:00.000Z,THA656,2122,0445,2127,8000.0,0501,41945,16998,,
553,LSZH,VTBS,HS-TQE,2022-05-16T00:00:00.000Z,THA971,2201,1012,2208,6400.0,1032,36046,43257,43116,
554,VTBS,LFPG,HS-TWA,2022-05-22T00:00:00.000Z,THA930,0537,1205,0544,6800.0,1228,30946,43257,42598,
555,VTBS,WSSS,HS-THG,2022-05-23T00:00:00.000Z,THA403,0259,0150,0307,5400.0,0211,44352,30951,,
556,WSSS,VTBS,HS-THG,2022-05-24T00:00:00.000Z,THA404,0645,0156,0652,5100.0,0224,44349,28382,,
557,EGLL,VTBS,HS-TTC,2022-05-19T00:00:00.000Z,THA911,2325,1049,2332,9300.0,1111,33810,44171,43956,
558,VTBS,VGHS,HS-THE,2022-05-24T00:00:00.000Z,THA321,,,,,,,,,
559,VTBS,VGHS,HS-THE,2022-05-24T00:00:00.000Z,THA321,,,,,,,,,
560,VTBS,LFPG,HS-TWB,2022-05-23T00:00:00.000Z,THA930,0526,1202,0537,6800.0,1227,44159,39689,_____,_____
561,VOBL,VTBS,HS-THL,2022-05-23T00:00:00.000Z,THA326,2250,0325,2255,5300.0,0344,42263,24857,20826,
562,VTBS,VOBL,HS-THL,2022-05-23T00:00:00.000Z,THA325,1807,0310,1814,7300.0,0332,24857,42263,20826,
563,VIDP,VTBS,HS-TKK,2022-05-18T00:00:00.000Z,THA316,2208,0329,2215,7500.0,0356,44246,33624,44285,
564,VTBS,LSZH,HS-TQC,2022-05-22T00:00:00.000Z,THA970,0606,1137,0613,6600.0,1159,44793,33816,42595,
565,VTBS,EGLL,HS-TTB,2022-05-22T00:00:00.000Z,THA910,0655,1229,0711,10300.0,1302,44420,37789,43971,
566,ZGGG,VTBS,HS-TKN,2022-05-21T00:00:00.000Z,THA679,1629,0224,1642,8800.0,0249,20821,44269,,
567,VTBS,ZGGG,HS-TKN,2022-05-21T00:00:00.000Z,THA678,1120,0224,1131,25500.0,0246,44269,20821,,
568,VTBS,WSSS,HS-THG,2022-05-24T00:00:00.000Z,THA403,0308,0159,0313,4900.0,0218,28382,44349,,
569,VTBS,EDDF,HS-TKZ,2022-05-22T00:00:00.000Z,THA920,0432,1127,0439,10000.0,1145,41935,37116,41931,
570,VTBS,VIDP,HS-TJV,2022-05-22T00:00:00.000Z,THA331,2018,0345,2030,11000.0,0408,44156,32106,44248,
571,LFPG,VTBS,HS-TWA,2022-05-23T00:00:00.000Z,THA931,2316,1056,2323,6700.0,1118,43117,26453,44212,
572,EKCH,VTBS,HS-TKV,2022-05-23T00:00:00.000Z,THA951,2256,1008,2302,9000.0,1028,43967,33622,43414,
573,VTBS,VOMM,HS-TQA,2022-05-23T00:00:00.000Z,THA337,1813,0244,1818,7000.0,0300,43954,35313,41095,
574,VTBS,OPIS,HS-THM,2022-05-23T00:00:00.000Z,THA349,1646,0427,1652,30400.0,0449,30947,44346,42582,
575,VTBS,RJBB,HS-TKR,2022-05-23T00:00:00.000Z,THA622,2215,0457,2222,8000.0,0512,43421,34101,,
576,RPLL,VTBS,HS-TKN,2022-05-22T00:00:00.000Z,THA625,1536,0242,1548,8200.0,0306,39842,26868,,
577,VTBS,RPLL,HS-TKN,2022-05-22T00:00:00.000Z,THA624,1118,0322,1128,7900.0,0345,39842,26868,,
578,VTBS,ESSA,HS-THE,2022-05-22T00:00:00.000Z,THA960,0649,1210,0700,9400.0,1240,39849,37249,39693,
579,RJBB,VTBS,HS-TKN,2022-05-23T00:00:00.000Z,THA623,0755,0522,0802,7100.0,0542,40295,43424,,
580,VTBS,RJBB,HS-TKL,2022-05-21T00:00:00.000Z,THA622,2209,0453,2214,6200.0,0509,43424,40295,,
581,VHHH,VTBS,HS-TTA,2022-05-23T00:00:00.000Z,THA601,0723,0224,0732,7100.0,0250,44794,33811,,
582,YMML,VTBS,HS-THF,2022-05-23T00:00:00.000Z,THA466,1005,0841,1014,1000.0,0902,40809,26770,44350,
583,VTBS,VTSP,HS-TQC,2022-05-21T00:00:00.000Z,THA918,0318,0101,0325,31400.0,0120,25897,43254,29436,44168
584,WSSS,VTBS,HS-TKN,2022-05-21T00:00:00.000Z,THA404,0639,0155,0649,6700.0,0223,37111,24868,,
585,VIDP,VTBS,HS-TKQ,2022-05-22T00:00:00.000Z,THA316,2143,0327,2154,7600.0,0354,44296,32103,44283,
586,VTBS,WSSS,HS-TKN,2022-05-21T00:00:00.000Z,THA403,0303,,0310,7900.0,0211,37111,24868,_____,
587,VTBS,VIDP,HS-TKQ,2022-05-22T00:00:00.000Z,THA315,1534,0419,1547,12100.0,0449,44296,32103,44283,
588,VTBS,VIDP,HS-TJW,2022-05-21T00:00:00.000Z,THA331,2111,0343,2122,14100.0,0404,44172,26100,43420,
589,RKSI,VTBS,HS-TKR,2022-05-22T00:00:00.000Z,THA655,1724,0456,1731,8200.0,0511,26114,43415,44414,
590,VTBS,VTSP,HS-TKZ,2022-05-21T00:00:00.000Z,THA477,1050,0058,1055,40900.0,0118,38378,44158,41941,
591,YSSY,VTBS,HS-TKW,2022-05-23T00:00:00.000Z,THA476,1036,0858,1043,6400.0,0931,41941,38378,44158,
592,WSSS,VTBS,HS-THE,2022-05-22T00:00:00.000Z,THA404,0653,0204,0704,5000.0,0238,43477,38372,,
593,VTBS,WSSS,HS-THE,2022-05-22T00:00:00.000Z,THA403,0307,0149,0316,5600.0,0211,38372,43477,,
594,VGHS,VTBS,HS-TQA,2022-05-23T00:00:00.000Z,THA322,1009,0205,1018,8000.0,0238,43486,39692,,
595,VTBS,VGHS,HS-TQA,2022-05-23T00:00:00.000Z,THA321,0603,0206,0610,18200.0,0225,39692,43486,,
596,VTBS,RKSI,HS-TKM,2022-05-22T00:00:00.000Z,THA656,2140,0447,2145,8100.0,0506,44621,37227,,
597,VTBS,WADD,HS-TQF,2022-05-23T00:00:00.000Z,THA431,0633,0336,0640,23200.0,0355,43398,33643,,
598,WADD,VTBS,HS-TQF,2022-05-23T00:00:00.000Z,THA432,1242,0342,1252,6400.0,0404,33643,43398,,
599,VTBS,RJBB,HS-TKN,2022-05-22T00:00:00.000Z,THA622,2224,0457,2229,6700.0,0512,43825,36152,,
600,VTBS,YMML,HS-THB,2022-05-23T00:00:00.000Z,THA465,1014,0819,1021,9100.0,0838,38368,44182,40785,
601,RJAA,VTBS,HS-TJW,2022-05-23T00:00:00.000Z,THA641,0804,0613,0817,6900.0,0646,41936,26957,,
602,VTBS,RJAA,HS-TJV,2022-05-21T00:00:00.000Z,THA640,2106,0531,2112,8500.0,0559,26957,41936,,
603,EGLL,VTBS,HS-TTB,2022-05-13T00:00:00.000Z,THA911,2312,1108,2319,7900.0,1134,41936,26100,44266,
604,VTBS,RJAA,HS-THL,2022-05-21T00:00:00.000Z,THA642,2235,0529,2241,7300.0,0551,37995,44416,,
605,RJAA,VTBS,HS-THL,2022-05-23T00:00:00.000Z,THA643,0913,0605,0920,6100.0,0633,44416,37995,,
606,WMKK,VTBS,HS-TWA,2022-05-22T00:00:00.000Z,THA416,0752,0148,0800,5400.0,0207,35455,41095,,
607,VTBS,WMKK,HS-TWA,2022-05-22T00:00:00.000Z,THA415,0422,0143,0429,4600.0,0206,43954,35455,,
608,LFPG,VTBS,HS-TWB,2022-05-22T00:00:00.000Z,THA931,2256,1021,2302,7100.0,1101,42616,37221,43964,
609,EGLL,VTBS,HS-TTC,2022-05-22T00:00:00.000Z,THA911,2338,1033,2348,8800.0,1101,40523,44262,44307,
610,VTBS,VHHH,HS-TTA,2022-05-23T00:00:00.000Z,THA600,0308,0208,0315,8400.0,0223,33811,44794,,
611,VTBS,YMML,HS-THF,2022-05-22T00:00:00.000Z,THA465,1008,0812,1014,8300.0,0832,44339,26870,44338,
612,VHHH,VTBS,HS-TTA,2022-05-22T00:00:00.000Z,THA601,0722,0217,0731,7100.0,0248,37147,43419,,
613,VABB,VTBS,HS-THM,2022-05-21T00:00:00.000Z,THA318,2157,0344,2203,5600.0,0408,32095,43937,44190,
614,VTSP,VTBS,HS-TKY,2022-05-23T00:00:00.000Z,THA927,0749,0100,0805,7400.0,0132,40293,43508,,
615,EDDF,VTSP,HS-TKY,2022-05-22T00:00:00.000Z,THA927,0542,1015,0546,8600.0,1037,44266,26108,43412,
616,VOMM,VTBS,HS-TQF,2022-05-22T00:00:00.000Z,THA338,2258,0302,2310,5100.0,0332,42593,32100,43256,
617,VTBS,ESSA,HS-THD,2022-05-21T00:00:00.000Z,THA960,0645,1215,0652,9100.0,1243,44356,37215,42256,
618,VTBS,RJGG,HS-THH,2022-05-19T00:00:00.000Z,THA644,2246,0505,2254,7000.0,0534,44187,37211,,
619,RJGG,VTBS,HS-THB,2022-05-22T00:00:00.000Z,THA645,0732,0533,0740,5600.0,0557,37211,44187,,
620,VTBS,EGLL,HS-TTC,2022-05-21T00:00:00.000Z,THA910,0659,1234,0705,11000.0,1259,33818,43966,43974,
621,RJBB,VTBS,HS-TKM,2022-05-21T00:00:00.000Z,THA623,0810,0525,0816,7900.0,0546,34102,43320,,
622,VIDP,VTBS,HS-TKR,2022-05-20T00:00:00.000Z,THA332,0158,0324,0206,6600.0,0346,42248,36466,43957,
623,VTBS,VIDP,HS-TKR,2022-05-20T00:00:00.000Z,THA331,2021,0356,2059,10500.0,0446,43957,36466,42248,
624,LSZH,VTBS,HS-TQE,2022-05-20T00:00:00.000Z,THA971,2204,1004,2212,5800.0,1028,23416,43398,43124,
625,EDDM,VTBS,HS-THB,2022-05-16T00:00:00.000Z,THA925,2235,0955,2244,7400.0,1021,43259,30938,43485,
626,VTBS,EDDM,HS-THK,2022-05-14T00:00:00.000Z,THA924,0524,1104,0530,7100.0,1124,30938,43259,43485,
627,VTBS,RJAA,HS-THB,2022-05-19T00:00:00.000Z,THA642,2247,0528,2302,5400.0,0556,44308,26769,44308,26769
628,RJAA,VTBS,HS-THK,2022-05-21T00:00:00.000Z,THA643,0911,0617,0918,6200.0,0635,26769,44308,44308,26769
629,WADD,VTBS,HS-TQF,2022-05-22T00:00:00.000Z,THA432,1239,0342,1246,6300.0,0403,29438,43125,,
630,VTBS,LFPG,HS-TWA,2022-05-18T00:00:00.000Z,THA930,0538,1205,0549,7200.0,1229,33882,44166,42600,
631,VTSP,VTBS,HS-TKV,2022-05-21T00:00:00.000Z,THA927,0749,0104,0756,7600.0,0123,39867,41937,,
632,VTBS,RJAA,HS-TJW,2022-05-22T00:00:00.000Z,THA640,2227,0536,2230,9600.0,0548,36766,42597,,
633,EDDM,VTBS,HS-THK,2022-05-22T00:00:00.000Z,THA925,2234,1000,2249,6900.0,1027,40509,27476,44344,
634,WMKK,VTBS,HS-TWB,2022-05-21T00:00:00.000Z,THA416,0710,0138,0726,5500.0,0208,42775,33823,,
635,VTBS,WMKK,HS-TWB,2022-05-21T00:00:00.000Z,THA415,0405,0142,0415,5100.0,0205,33823,42775,,
636,VTBS,RKSI,HS-TKR,2022-05-22T00:00:00.000Z,THA654,1106,0459,1113,8400.0,0516,44414,26114,43415,
637,VTBS,EDDF,HS-TKX,2022-05-21T00:00:00.000Z,THA920,0442,1139,0452,8100.0,1200,40500,44409,43417,
638,VTBS,OPKC,HS-TQA,2022-05-22T00:00:00.000Z,THA341,1745,0438,1752,28100.0,0459,44174,39149,42579,
639,RJAA,VTBS,HS-THL,2022-05-22T00:00:00.000Z,THA643,0918,0607,0925,6400.0,0637,36733,44194,,
640,VTBS,EKCH,HS-TKY,2022-05-17T00:00:00.000Z,THA950,0632,1130,0652,7300.0,1209,43423,33146,44154,
641,EKCH,VTBS,HS-TKZ,2022-05-20T00:00:00.000Z,THA951,2244,1004,2253,11000.0,1027,44154,33146,43423,
642,VIDP,VTBS,HS-TKM,2022-05-21T00:00:00.000Z,THA316,2201,0327,2208,8300.0,0345,44290,36048,43501,
643,VTBS,WSSS,HS-THE,2022-05-22T00:00:00.000Z,THA409,1121,0149,1131,5300.0,0209,44279,29437,,
644,WSSS,VTBS,HS-THE,2022-05-22T00:00:00.000Z,THA410,1513,0159,1520,5300.0,0230,29437,44279,,
645,RJAA,VTBS,HS-TJV,2022-05-22T00:00:00.000Z,THA641,0822,0617,0827,7600.0,0643,43316,36050,,
646,VTBS,ZSPD,HS-THM,2022-05-22T00:00:00.000Z,THA664,0758,0342,0807,27900.0,0404,44619,36738,43481,
647,ZSPD,VTBS,HS-THM,2022-05-22T00:00:00.000Z,THA665,1436,0348,1445,6700.0,0417,43481,36738,44619,
648,VTBS,VVNB,HS-TKO,2022-05-21T00:00:00.000Z,THA560,0206,0124,0213,19500.0,0140,43489,33822,,
649,VVNB,VTBS,HS-TKO,2022-05-21T00:00:00.000Z,THA561,0502,0127,0509,8800.0,0147,33822,43489,,
650,VTBS,OPLA,HS-THB,2022-05-20T00:00:00.000Z,THA345,1711,0407,1718,28700.0,0428,33563,42779,44260,
651,OPLA,VTBS,HS-THB,2022-05-20T00:00:00.000Z,THA346,2310,0357,2316,6700.0,0418,44260,33563,42779,
652,VTSP,VTBS,HS-TQC,2022-05-22T00:00:00.000Z,THA919,1104,0107,1109,5400.0,0124,38009,43970,33812,44177
653,EGLL,VTSP,HS-TQC,2022-05-21T00:00:00.000Z,THA919,0802,1104,0807,6800.0,1129,44177,33812,38009,43970
654,YMML,VTBS,HS-THG,2022-05-22T00:00:00.000Z,THA466,0912,0848,0921,6500.0,0914,36151,44184,43485,
655,VTBS,VOMM,HS-TQD,2022-05-19T00:00:00.000Z,THA337,1820,0248,1826,6900.0,0304,43125,33816,44793,
656,RJBB,VTBS,HS-TKL,2022-05-22T00:00:00.000Z,THA623,0830,0523,0837,7000.0,0542,29442,45135,,
657,VTBS,RJBB,HS-TKM,2022-05-20T00:00:00.000Z,THA622,2203,0455,2208,7000.0,0511,45135,29442,,
658,VTBS,VGHS,HS-THH,2022-05-22T00:00:00.000Z,THA321,0557,0203,0605,20000.0,0224,44798,33572,,
659,VGHS,VTBS,HS-THH,2022-05-22T00:00:00.000Z,THA322,1032,0207,1041,7000.0,0248,33572,44798,,
660,RJAA,VTBS,HS-THL,2022-05-17T00:00:00.000Z,THA643,0919,0619,0927,6800.0,0639,36733,40809,,
661,VTBS,RJAA,HS-THF,2022-05-15T00:00:00.000Z,THA642,2225,0520,2231,5600.0,0536,40809,36733,_____,
662,VTBS,VTSP,HS-TQC,2022-05-19T00:00:00.000Z,THA918,0310,0103,0315,24100.0,0123,33812,44177,43970,38009
663,VTBS,WIII,HS-TKQ,2022-05-22T00:00:00.000Z,THA433,0412,0245,0419,21700.0,0306,44261,33621,,
664,WIII,VTBS,HS-TKQ,2022-05-22T00:00:00.000Z,THA434,0921,0300,0929,6700.0,0330,33621,44261,,
665,RJGG,VTBS,HS-THK,2022-05-19T00:00:00.000Z,THA645,0730,0533,0737,6100.0,0553,37132,40785,,
666,VOBL,VTBS,HS-THH,2022-05-21T00:00:00.000Z,THA326,2229,0312,2236,6600.0,0334,43946,37139,24573,
667,VTBS,VOBL,HS-THH,2022-05-21T00:00:00.000Z,THA325,1757,0305,1804,7100.0,0326,37139,43946,24573,
668,VTBS,LSZH,HS-TQD,2022-05-21T00:00:00.000Z,THA970,0605,1133,0612,5400.0,1158,42778,26768,42581,
669,YSSY,VTSP,HS-TKZ,2022-05-22T00:00:00.000Z,THA478,0847,0842,0852,9500.0,0857,33624,42629,44263,
670,VTBS,EKCH,HS-TKW,2022-05-20T00:00:00.000Z,THA950,0610,1141,0622,6300.0,1210,43497,40515,43480,
671,RKSI,VTBS,HS-TKV,2022-05-22T00:00:00.000Z,THA657,0630,0457,0637,9600.0,0522,28380,42259,,
672,VTBS,WSSS,HS-THH,2022-05-18T00:00:00.000Z,THA409,1115,0152,1124,5300.0,0212,44268,29437,,
673,VTBS,WADD,HS-TQF,2022-05-22T00:00:00.000Z,THA431,0649,0339,0654,23300.0,0356,43125,29438,,
674,VTBS,EKCH,HS-TKK,2022-05-21T00:00:00.000Z,THA950,0632,1148,0650,8300.0,1222,33622,43414,43967,
675,VTBS,YMML,HS-THM,2022-05-19T00:00:00.000Z,THA465,1027,0817,1037,8600.0,0837,43942,33868,43934,
676,OPLA,VTBS,HS-THK,2022-05-19T00:00:00.000Z,THA346,2256,0354,2302,7700.0,0415,44232,26470,44192,
677,VTBS,OPLA,HS-THK,2022-05-19T00:00:00.000Z,THA345,1711,0408,1716,29000.0,0431,44192,26470,44232,
678,VTBS,RPLL,HS-TKO,2022-05-21T00:00:00.000Z,THA624,1048,0301,1053,10200.0,0322,36056,26950,,
679,VTBS,VHHH,HS-TTA,2022-05-22T00:00:00.000Z,THA600,0315,0208,0322,8500.0,0229,43419,37147,,
680,EGLL,VTBS,HS-TTB,2022-05-21T00:00:00.000Z,THA911,2259,1037,2306,9900.0,1058,45596,33845,42255,
681,VOMM,VTBS,HS-TQE,2022-05-21T00:00:00.000Z,THA338,2242,0255,2248,5600.0,0316,29448,43409,17305,
682,VTBS,VOMM,HS-TQE,2022-05-21T00:00:00.000Z,THA337,1818,0250,1823,7200.0,0312,43409,29448,17305,
683,ZPPP,VTBS,HS-TKL,2022-05-17T00:00:00.000Z,THA613,0950,0140,1002,10400.0,0211,43499,34101,,
684,VTBS,ZPPP,HS-TKL,2022-05-17T00:00:00.000Z,THA612,0515,0151,0524,23900.0,0208,34101,43499,,
685,LFPG,VTBS,HS-TQE,2022-05-11T00:00:00.000Z,THA931,2251,1050,2300,5600.0,1113,44796,33637,41095,
686,EDDF,VTBS,HS-TKY,2022-05-21T00:00:00.000Z,THA921,2311,0959,2319,8900.0,1025,37152,43483,45127,
687,EDDM,VTBS,HS-THE,2022-05-21T00:00:00.000Z,THA925,2234,0946,2243,7600.0,1009,44186,38386,26775,
688,RJBB,VTBS,HS-TKO,2022-05-19T00:00:00.000Z,THA623,0802,0520,0816,7300.0,0552,44286,26100,,
689,VTBS,VIDP,HS-TKM,2022-05-21T00:00:00.000Z,THA315,1514,0343,1530,13800.0,0425,44290,36048,43501,
690,VTSP,YSSY,HS-TKZ,2022-05-21T00:00:00.000Z,THA477,2052,0812,2059,11400.0,0838,44158,38378,41941,
691,EDDF,VTBS,HS-TKK,2022-05-20T00:00:00.000Z,THA921,2338,1004,2344,8900.0,1024,43960,33814,44297,
692,YSSY,VTSP,HS-TKW,2022-05-20T00:00:00.000Z,THA478,0916,0845,0921,6800.0,0918,43949,33627,43490,
693,YSSY,VTSP,HS-TKW,2022-05-20T00:00:00.000Z,THA478,0916,0845,0921,6800.0,0918,43949,33627,43490,
694,VTBS,VABB,HS-THM,2022-05-21T00:00:00.000Z,THA317,1550,0347,1558,9300.0,0407,44190,32095,43937,
695,VIDP,VTBS,HS-TKP,2022-05-20T00:00:00.000Z,THA316,0054,0323,0102,7200.0,0352,44312,33867,43950,
696,VTBS,VIDP,HS-TKP,2022-05-20T00:00:00.000Z,THA315,,,1603,4900.0,0510,44312,33867,43950,
697,VTBS,RJAA,HS-TJV,2022-05-20T00:00:00.000Z,THA640,2107,0539,2110,6800.0,0552,36050,43316,,
698,RPLL,VTBS,HS-TKO,2022-05-21T00:00:00.000Z,THA625,1519,0242,1526,7900.0,0310,36056,26950,,
699,ZPPP,VTBS,HS-TJW,2022-05-19T00:00:00.000Z,THA613,1124,0149,1129,6600.0,0218,43482,39033,,
700,VTBS,ZPPP,HS-TJW,2022-05-19T00:00:00.000Z,THA612,0609,0201,0618,16900.0,0221,39033,43482,,
701,VTBS,VGHS,HS-TQE,2022-05-21T00:00:00.000Z,THA321,0604,0213,0610,17500.0,0231,32094,43256,,
702,VGHS,VTBS,HS-TQE,2022-05-21T00:00:00.000Z,THA322,1032,0207,1041,6800.0,0237,43256,32094,,
703,RJAA,VTBS,HS-TJV,2022-05-21T00:00:00.000Z,THA641,0752,0615,0804,7900.0,0637,33825,43487,,
704,YMML,VTBS,HS-THL,2022-05-21T00:00:00.000Z,THA466,0847,0857,0853,7100.0,0907,43934,33868,43942,
705,VTSP,EGLL,HS-TQC,2022-05-19T00:00:00.000Z,THA918,1733,1237,1740,7100.0,1300,43970,38009,44177,33812
706,VTBS,RJAA,HS-THK,2022-05-20T00:00:00.000Z,THA642,2233,0532,2240,5500.0,0550,44194,36733,,
707,VOMM,VTBS,HS-TQC,2022-05-20T00:00:00.000Z,THA338,2316,0256,2321,5300.0,0339,42575,39151,42595,
708,YSSY,VTBS,HS-TKX,2022-05-21T00:00:00.000Z,THA476,0922,0903,0928,7500.0,0930,43823,36762,44293,
709,VTBS,LSZH,HS-TQE,2022-05-15T00:00:00.000Z,THA970,0550,1120,0555,6600.0,1139,42775,27478,42593,
710,RKSI,VTBS,HS-TKL,2022-05-21T00:00:00.000Z,THA657,0626,0456,0633,8500.0,0518,26953,41948,,
711,VABB,VTBS,HS-THG,2022-05-19T00:00:00.000Z,THA318,2210,0344,2220,5500.0,0411,44201,36739,42652,
712,VTBS,EDDM,HS-THE,2022-05-20T00:00:00.000Z,THA924,0532,1115,0539,7300.0,1136,44344,27476,40509,
713,VHHH,VTBS,HS-TTC,2022-05-21T00:00:00.000Z,THA601,0713,0214,0719,8800.0,0235,26107,43413,,
714,VTBS,VHHH,HS-TTC,2022-05-21T00:00:00.000Z,THA600,0323,0214,0330,8700.0,0231,43413,26107,,
715,EDDF,VTBS,HS-TKN,2022-05-18T00:00:00.000Z,THA921,2318,1015,2324,8900.0,1036,43321,34100,44178,
716,VIDP,VTBS,HS-TKM,2022-05-19T00:00:00.000Z,THA316,2148,0327,2159,7900.0,0358,44311,34101,44299,
717,VTBS,EDDF,HS-TKY,2022-05-20T00:00:00.000Z,THA920,0437,1124,0447,9600.0,1146,44400,36052,43503,
718,VTBS,OPKC,HS-TQD,2022-05-20T00:00:00.000Z,THA341,1726,0432,1734,28900.0,0453,26787,43116,44176,
719,EDDF,VTSP,HS-TKV,2022-05-20T00:00:00.000Z,THA927,0534,1016,0538,10000.0,1035,26954,42777,44199,
720,LFPG,VTBS,HS-TWB,2022-05-20T00:00:00.000Z,THA931,2241,1033,2249,6900.0,1057,42600,33882,44166,
721,RKSI,VTBS,HS-TKY,2022-05-20T00:00:00.000Z,THA657,0638,0504,0646,8700.0,0526,42628,39143,,
722,VTBS,RKSI,HS-TKW,2022-05-18T00:00:00.000Z,THA656,2150,0446,2156,7200.0,0503,39143,42628,,
723,EGLL,VTBS,HS-TTC,2022-05-14T00:00:00.000Z,THA911,2258,1101,2305,9700.0,1128,33822,41937,44170,
724,ESSA,VTBS,HS-THD,2022-05-20T00:00:00.000Z,THA961,2314,1027,2321,6800.0,1050,44203,38383,44236,
725,EGLL,VTSP,HS-TQA,2022-05-07T00:00:00.000Z,THA919,0811,1133,0818,6700.0,1156,44159,39149,39689,44163
726,WADD,VTBS,HS-TWB,2022-05-15T00:00:00.000Z,THA432,1236,0343,1246,5700.0,0408,44163,33625,,
727,VTBS,WADD,HS-TWB,2022-05-15T00:00:00.000Z,THA431,0634,0338,0639,23600.0,0357,33625,44163,,
728,VTBS,LFPG,HS-TWB,2022-05-19T00:00:00.000Z,THA930,0529,1206,0542,9400.0,1234,43119,25899,44163,
729,VTSP,VTBS,HS-TQC,2022-05-20T00:00:00.000Z,THA919,1033,0110,1045,5100.0,0133,44796,37224,35313,44814
730,VTSP,EGLL,HS-TQF,2022-05-16T00:00:00.000Z,THA918,1722,1230,1730,7800.0,1252,35313,44796,37224,44814
731,VTBS,LSZH,HS-TQE,2022-05-13T00:00:00.000Z,THA970,0553,1122,0559,6100.0,1143,32100,43964,43256,
732,LSZH,VTBS,HS-TQD,2022-05-15T00:00:00.000Z,THA971,2206,1012,2215,6200.0,1041,43256,32100,43964,
733,VTBS,WSSS,HS-THK,2022-05-20T00:00:00.000Z,THA409,1123,0155,1129,4800.0,0216,36727,30947,,
734,YMML,VTBS,HS-THM,2022-05-20T00:00:00.000Z,THA466,0846,0840,0853,6700.0,0904,44205,33579,44278,
735,VTBS,LSZH,HS-TQE,2022-05-17T00:00:00.000Z,THA970,0621,1121,0629,5700.0,1144,43124,23416,43398,
736,OPIS,VTBS,HS-THH,2022-05-20T00:00:00.000Z,THA350,2238,0407,2244,7900.0,0425,26468,40785,44225,
737,VTBS,OPIS,HS-THH,2022-05-20T00:00:00.000Z,THA349,1647,0429,1653,30900.0,0451,44225,26468,40785,
738,VYYY,VTBS,HS-THB,2022-05-19T00:00:00.000Z,THA304,0436,0103,0442,4700.0,0124,44225,38387,,
739,VTBS,VYYY,HS-THB,2022-05-19T00:00:00.000Z,THA303,0215,0055,0220,10800.0,0120,38387,44225,,
740,RJAA,VTBS,HS-TJW,2022-05-18T00:00:00.000Z,THA641,0807,0622,0820,7200.0,0648,43489,37131,,
741,VTBS,VOMM,HS-TQD,2022-05-18T00:00:00.000Z,THA337,1814,0247,1819,6700.0,0308,44152,33637,25897,
742,OPKC,VTBS,HS-TQD,2022-05-20T00:00:00.000Z,THA342,2319,0425,2326,7500.0,0442,44176,26787,43116,
743,RPLL,VTBS,HS-TWA,2022-05-13T00:00:00.000Z,THA621,0920,0239,0928,5800.0,0319,33643,44152,,
744,RPLL,VTBS,HS-TWB,2022-05-09T00:00:00.000Z,THA621,0930,0252,0937,6300.0,0331,_____,_____,,
745,VTBS,RKSI,HS-TKL,2022-05-20T00:00:00.000Z,THA656,2129,0439,2146,8200.0,0511,42259,28380,,
746,VABB,VTBS,HS-THM,2022-05-20T00:00:00.000Z,THA318,2203,0341,2210,5500.0,0406,44357,33638,44277,
747,VTBS,RJBB,HS-TKO,2022-05-18T00:00:00.000Z,THA622,2202,0453,2206,6800.0,0510,40181,43834,,
748,RJBB,VTBS,HS-TKQ,2022-05-20T00:00:00.000Z,THA623,0807,0523,0816,7900.0,0545,43834,40181,,
749,ZPPP,VTBS,HS-TKR,2022-05-20T00:00:00.000Z,THA613,0957,0149,1004,8900.0,0226,44248,35454,,
750,VTBS,ZPPP,HS-TKR,2022-05-20T00:00:00.000Z,THA612,0515,0146,0526,23500.0,0206,35454,44248,,
751,ZGGG,VTBS,HS-THG,2022-05-18T00:00:00.000Z,THA679,1646,0218,1657,6200.0,0247,36739,42256,,
