,flight_date,flight_number,aircraft_registration,dep
1720,2022/02/16,THA953,HS-THN,HKT
1721,2022/02/16,THA953,HS-THN,CPH
1722,2022/02/16,THA962,HS-THE,BKK
1723,2022/02/16,THA962,HS-THE,HKT
1724,2022/02/16,THA971,HS-TQF,ZRH
1725,2022/02/17,THA303,HS-THC,BKK
1726,2022/02/17,THA304,HS-THC,RGN
1727,2022/02/17,THA315,HS-TKP,BKK
1728,2022/02/17,THA316,HS-TKP,DEL
1729,2022/02/17,THA321,HS-THH,BKK
1730,2022/02/17,THA322,HS-THH,DAC
1731,2022/02/17,THA337,HS-TKU,BKK
1732,2022/02/17,THA338,HS-TKU,MAA
1733,2022/02/17,THA403,HS-TJS,BKK
1734,2022/02/17,THA404,HS-TJS,SIN
1735,2022/02/17,THA433,HS-THF,BKK
1736,2022/02/17,THA434,HS-THF,CGK
1737,2022/02/17,THA475,HS-TKN,BKK
1738,2022/02/17,THA476,HS-TKY,SYD
1739,2022/02/17,THA477,HS-TKW,BKK
1740,2022/02/17,THA477,HS-TKW,HKT
1741,2022/02/17,THA478,HS-TKW,HKT
1742,2022/02/17,THA478,HS-TKW,SYD
1743,2022/02/17,THA556,HS-TKO,BKK
1744,2022/02/17,THA557,HS-TKO,SGN
1745,2022/02/17,THA612,HS-THH,BKK
1746,2022/02/17,THA613,HS-THH,KMG
1747,2022/02/17,THA620,HS-THC,BKK
1748,2022/02/17,THA621,HS-THC,MNL
1749,2022/02/17,THA622,HS-TKO,BKK
1750,2022/02/17,THA623,HS-TKQ,KIX
1751,2022/02/17,THA624,HS-TKZ,BKK
1752,2022/02/17,THA625,HS-TKZ,MNL
1753,2022/02/17,THA642,HS-TKV,BKK
1754,2022/02/17,THA643,HS-TKU,NRT
1755,2022/02/17,THA644,HS-THF,BKK
1756,2022/02/17,THA645,HS-TJT,NGO
1757,2022/02/17,THA654,HS-THN,BKK
1758,2022/02/17,THA655,HS-THN,ICN
1759,2022/02/17,THA656,HS-THH,BKK
1760,2022/02/17,THA657,HS-THM,ICN
1761,2022/02/17,THA668,HS-THJ,BKK
1762,2022/02/17,THA669,HS-THJ,CAN
1763,2022/02/17,THA8426,HS-THL,BKK
1764,2022/02/17,THA911,HS-TKX,LHR
1765,2022/02/17,THA923,HS-TKM,FRA
1766,2022/02/17,THA926,HS-TKQ,HKT
1767,2022/02/17,THA926,HS-TKQ,BKK
1768,2022/02/17,THA930,HS-TQA,BKK
1769,2022/02/17,THA934,HS-THJ,BKK
1770,2022/02/17,THA935,HS-THD,BRU
1771,2022/02/17,THA952,HS-THM,BKK
1772,2022/02/17,THA952,HS-THM,HKT
1773,2022/02/17,THA963,HS-THE,HKT
1774,2022/02/17,THA963,HS-THE,ARN
1775,2022/02/17,THA970,HS-TQE,BKK
1776,2022/02/18,THA315,HS-TKW,BKK
1777,2022/02/18,THA316,HS-TKW,DEL
1778,2022/02/18,THA403,HS-TJS,BKK
1779,2022/02/18,THA404,HS-TJS,SIN
1780,2022/02/18,THA415,HS-THG,BKK
1781,2022/02/18,THA416,HS-THG,KUL
1782,2022/02/18,THA433,HS-TKX,BKK
1783,2022/02/18,THA434,HS-TKX,CGK
1784,2022/02/18,THA475,HS-TKY,BKK
1785,2022/02/18,THA476,HS-TKN,SYD
1786,2022/02/18,THA600,HS-THC,BKK
1787,2022/02/18,THA601,HS-THC,HKG
1788,2022/02/18,THA620,HS-TQD,BKK
1789,2022/02/18,THA621,HS-TQD,MNL
1790,2022/02/18,THA622,HS-TKP,BKK
1791,2022/02/18,THA623,HS-TKO,KIX
1792,2022/02/18,THA632,HS-THN,BKK
1793,2022/02/18,THA633,HS-THN,TPE
1794,2022/02/18,THA642,HS-TKV,BKK
1795,2022/02/18,THA643,HS-TKV,NRT
1796,2022/02/18,THA645,HS-THF,NGO
1797,2022/02/18,THA657,HS-THH,ICN
1798,2022/02/18,THA664,HS-THD,BKK
1799,2022/02/18,THA665,HS-THD,PVG
1800,2022/02/18,THA668,HS-TKM,BKK
1801,2022/02/18,THA669,HS-TKM,CAN
1802,2022/02/18,THA916,HS-TKU,HKT
1803,2022/02/18,THA916,HS-TKU,BKK
1804,2022/02/18,THA917,HS-TKU,HKT
1805,2022/02/18,THA917,HS-TKU,LHR
1806,2022/02/18,THA926,HS-TKO,BKK
1807,2022/02/18,THA926,HS-TKO,HKT
1808,2022/02/18,THA927,HS-TKQ,HKT
1809,2022/02/18,THA927,HS-TKQ,FRA
1810,2022/02/18,THA931,HS-TQA,CDG
1811,2022/02/18,THA953,HS-THM,HKT
1812,2022/02/18,THA953,HS-THM,CPH
1813,2022/02/18,THA962,HS-THE,HKT
1814,2022/02/18,THA962,HS-THE,BKK
1815,2022/02/18,THA971,HS-TQE,ZRH
1816,2022/02/19,THA303,HS-THG,BKK
1817,2022/02/19,THA304,HS-THG,RGN
1818,2022/02/19,THA321,HS-THC,BKK
1819,2022/02/19,THA322,HS-THC,DAC
1820,2022/02/19,THA403,HS-TKW,BKK
1821,2022/02/19,THA404,HS-TKW,SIN
1822,2022/02/19,THA433,HS-THN,BKK
1823,2022/02/19,THA434,HS-THN,CGK
1824,2022/02/19,THA475,HS-TKM,BKK
1825,2022/02/19,THA476,HS-TKY,SYD
1826,2022/02/19,THA477,HS-TKW,BKK
1827,2022/02/19,THA477,HS-TKW,HKT
1828,2022/02/19,THA478,HS-TKW,HKT
1829,2022/02/19,THA478,HS-TKW,SYD
1830,2022/02/19,THA556,HS-TKP,BKK
1831,2022/02/19,THA557,HS-TKP,SGN
1832,2022/02/19,THA560,HS-THG,BKK
1833,2022/02/19,THA561,HS-THG,HAN
1834,2022/02/19,THA600,HS-THF,BKK
1835,2022/02/19,THA601,HS-THF,HKG
1836,2022/02/19,THA622,HS-TKQ,BKK
1837,2022/02/19,THA623,HS-TKP,KIX
1838,2022/02/19,THA624,HS-TKQ,BKK
1839,2022/02/19,THA625,HS-TKQ,MNL
1840,2022/02/19,THA640,HS-TKL,BKK
1841,2022/02/19,THA642,HS-TKU,BKK
1842,2022/02/19,THA643,HS-TKV,NRT
1843,2022/02/19,THA644,HS-THF,BKK
1844,2022/02/19,THA656,HS-THC,BKK
1845,2022/02/19,THA910,HS-TKY,BKK
1846,2022/02/19,THA916,HS-TKX,HKT
1847,2022/02/19,THA916,HS-TKX,BKK
1848,2022/02/19,THA917,HS-TKX,HKT
1849,2022/02/19,THA917,HS-TKX,LHR
1850,2022/02/19,THA926,HS-TKN,HKT
1851,2022/02/19,THA926,HS-TKN,BKK
1852,2022/02/19,THA927,HS-TKO,HKT
1853,2022/02/19,THA927,HS-TKO,FRA
1854,2022/02/19,THA930,HS-TQF,BKK
1855,2022/02/19,THA935,HS-THJ,BRU
1856,2022/02/19,THA950,HS-THN,BKK
1857,2022/02/19,THA963,HS-THE,HKT
1858,2022/02/19,THA963,HS-THE,ARN
1859,2022/02/20,THA403,HS-TJW,BKK
1860,2022/02/20,THA404,HS-TJW,SIN
1861,2022/02/20,THA415,HS-THE,BKK
1862,2022/02/20,THA416,HS-THE,KUL
1863,2022/02/20,THA433,HS-THM,BKK
1864,2022/02/20,THA434,HS-THM,CGK
1865,2022/02/20,THA475,HS-TKV,BKK
1866,2022/02/20,THA476,HS-TKM,SYD
1867,2022/02/20,THA491,HS-THE,BKK
1868,2022/02/20,THA600,HS-THH,BKK
1869,2022/02/20,THA601,HS-THH,HKG
1870,2022/02/20,THA622,HS-TKX,BKK
1871,2022/02/20,THA623,HS-TKQ,KIX
1872,2022/02/20,THA638,HS-THH,BKK
1873,2022/02/20,THA639,HS-THH,HKG
1874,2022/02/20,THA641,HS-TKL,NRT
1875,2022/02/20,THA642,HS-TKU,BKK
1876,2022/02/20,THA643,HS-TKU,NRT
1877,2022/02/20,THA645,HS-THF,NGO
1878,2022/02/20,THA654,HS-TKP,BKK
1879,2022/02/20,THA655,HS-TKP,ICN
1880,2022/02/20,THA656,HS-THD,BKK
1881,2022/02/20,THA657,HS-THC,ICN
1882,2022/02/20,THA664,HS-THJ,BKK
1883,2022/02/20,THA665,HS-THJ,PVG
1884,2022/02/20,THA668,HS-THG,BKK
1885,2022/02/20,THA669,HS-THG,CAN
1886,2022/02/20,THA911,HS-TKY,LHR
1887,2022/02/20,THA920,HS-TKO,BKK
1888,2022/02/20,THA921,HS-TKO,FRA
1889,2022/02/20,THA922,HS-TKM,BKK
1890,2022/02/20,THA927,HS-TKN,HKT
1891,2022/02/20,THA927,HS-TKN,FRA
1892,2022/02/20,THA930,HS-TKQ,BKK
1893,2022/02/20,THA931,HS-TQF,CDG
1894,2022/02/20,THA951,HS-THN,CPH
1895,2022/02/20,THA970,HS-TQA,BKK
1896,2022/02/21,THA315,HS-TKO,BKK
1897,2022/02/21,THA316,HS-TKO,DEL
1898,2022/02/21,THA317,HS-TKX,BKK
1899,2022/02/21,THA318,HS-TKX,BOM
1900,2022/02/21,THA337,HS-TKU,BKK
1901,2022/02/21,THA338,HS-TKU,MAA
1902,2022/02/21,THA403,HS-TJS,BKK
1903,2022/02/21,THA404,HS-TJS,SIN
1904,2022/02/21,THA415,HS-THG,BKK
1905,2022/02/21,THA416,HS-THG,KUL
1906,2022/02/21,THA475,HS-TKZ,BKK
1907,2022/02/21,THA476,HS-TKV,SYD
1908,2022/02/21,THA620,HS-TQD,BKK
1909,2022/02/21,THA621,HS-TQD,MNL
1910,2022/02/21,THA622,HS-TJT,BKK
1911,2022/02/21,THA623,HS-TKX,KIX
1912,2022/02/21,THA632,HS-THM,BKK
1913,2022/02/21,THA633,HS-THM,TPE
1914,2022/02/21,THA642,HS-TKV,BKK
1915,2022/02/21,THA643,HS-TKU,NRT
1916,2022/02/21,THA656,HS-THD,BKK
1917,2022/02/21,THA657,HS-THD,ICN
1918,2022/02/21,THA668,HS-TKP,BKK
1919,2022/02/21,THA669,HS-TKP,CAN
1920,2022/02/21,THA8423,HS-THK,DMK
1921,2022/02/21,THA910,HS-TKY,BKK
1922,2022/02/21,THA920,HS-TKN,BKK
1923,2022/02/21,THA921,HS-TKN,FRA
1924,2022/02/21,THA922,HS-TKW,BKK
1925,2022/02/21,THA923,HS-TKM,FRA
1926,2022/02/21,THA930,HS-TKP,BKK
1927,2022/02/21,THA931,HS-TKQ,CDG
1928,2022/02/21,THA960,HS-THC,BKK
1929,2022/02/21,THA971,HS-TQA,ZRH
1930,2022/02/22,THA315,HS-THG,BKK
1931,2022/02/22,THA316,HS-THG,DEL
1932,2022/02/22,THA317,HS-TKN,BKK
1933,2022/02/22,THA318,HS-TKN,BOM
1934,2022/02/22,THA321,HS-THF,BKK
1935,2022/02/22,THA322,HS-THF,DAC
1936,2022/02/22,THA345,HS-THM,BKK
1937,2022/02/22,THA346,HS-THM,LHE
1938,2022/02/22,THA403,HS-TJS,BKK
1939,2022/02/22,THA404,HS-TJS,SIN
1940,2022/02/22,THA475,HS-TKQ,BKK
1941,2022/02/22,THA476,HS-TKZ,SYD
1942,2022/02/22,THA477,HS-TKU,HKT
1943,2022/02/22,THA477,HS-TKU,BKK
1944,2022/02/22,THA478,HS-TKU,HKT
1945,2022/02/22,THA478,HS-TKU,SYD
1946,2022/02/22,THA492,HS-THE,AKL
1947,2022/02/22,THA600,HS-THH,BKK
1948,2022/02/22,THA601,HS-THH,HKG
1949,2022/02/22,THA622,HS-TKO,BKK
1950,2022/02/22,THA623,HS-TJT,KIX
1951,2022/02/22,THA624,HS-TKM,BKK
1952,2022/02/22,THA625,HS-TKM,MNL
1953,2022/02/22,THA640,HS-TJW,BKK
1954,2022/02/22,THA642,HS-TKX,BKK
1955,2022/02/22,THA643,HS-TKV,NRT
1956,2022/02/22,THA644,HS-THH,BKK
1957,2022/02/22,THA656,HS-THF,BKK
1958,2022/02/22,THA657,HS-THD,ICN
1959,2022/02/22,THA668,HS-THJ,BKK
1960,2022/02/22,THA669,HS-THJ,CAN
1961,2022/02/22,THA910,HS-TKZ,BKK
1962,2022/02/22,THA911,HS-TKY,LHR
1963,2022/02/22,THA923,HS-TKW,FRA
1964,2022/02/22,THA926,HS-TKV,HKT
1965,2022/02/22,THA926,HS-TKV,BKK
1966,2022/02/22,THA930,HS-TKM,BKK
1967,2022/02/22,THA931,HS-TKP,CDG
1968,2022/02/22,THA934,HS-THE,BKK
1969,2022/02/22,THA952,HS-THD,BKK
1970,2022/02/22,THA952,HS-THD,HKT
1971,2022/02/22,THA961,HS-THC,ARN
1972,2022/02/22,THA970,HS-TQF,BKK
1973,2022/02/23,THA315,HS-TKO,BKK
1974,2022/02/23,THA316,HS-TKO,DEL
1975,2022/02/23,THA317,HS-TKX,BKK
1976,2022/02/23,THA318,HS-TKX,BOM
1977,2022/02/23,THA337,HS-THH,BKK
1978,2022/02/23,THA338,HS-THH,MAA
1979,2022/02/23,THA403,HS-TKN,BKK
1980,2022/02/23,THA404,HS-TKN,SIN
1981,2022/02/23,THA415,HS-THM,BKK
1982,2022/02/23,THA416,HS-THM,KUL
1983,2022/02/23,THA433,HS-THJ,BKK
1984,2022/02/23,THA434,HS-THJ,CGK
1985,2022/02/23,THA475,HS-TKY,BKK
1986,2022/02/23,THA476,HS-TKQ,SYD
1987,2022/02/23,THA556,HS-THG,BKK
1988,2022/02/23,THA557,HS-THG,SGN
1989,2022/02/23,THA600,HS-THG,BKK
1990,2022/02/23,THA601,HS-THG,HKG
1991,2022/02/23,THA620,HS-TQD,BKK
1992,2022/02/23,THA621,HS-TQD,MNL
1993,2022/02/23,THA622,HS-TKQ,BKK
1994,2022/02/23,THA623,HS-TKO,KIX
1995,2022/02/23,THA624,HS-THM,BKK
1996,2022/02/23,THA625,HS-THM,MNL
1997,2022/02/23,THA632,HS-TKW,BKK
1998,2022/02/23,THA633,HS-TKW,TPE
1999,2022/02/23,THA641,HS-TJW,NRT
2000,2022/02/23,THA642,HS-TKW,BKK
2001,2022/02/23,THA643,HS-TKX,NRT
2002,2022/02/23,THA644,HS-TJT,BKK
2003,2022/02/23,THA645,HS-THH,NGO
2004,2022/02/23,THA656,HS-THK,BKK
2005,2022/02/23,THA657,HS-THF,ICN
2006,2022/02/23,THA664,HS-THC,BKK
2007,2022/02/23,THA665,HS-THC,PVG
2008,2022/02/23,THA668,HS-TKP,BKK
2009,2022/02/23,THA669,HS-TKP,CAN
2010,2022/02/23,THA910,HS-TKU,BKK
2011,2022/02/23,THA911,HS-TKZ,LHR
2012,2022/02/23,THA922,HS-TKP,BKK
2013,2022/02/23,THA927,HS-TKV,HKT
2014,2022/02/23,THA927,HS-TKV,FRA
2015,2022/02/23,THA931,HS-TKM,CDG
2016,2022/02/23,THA953,HS-THD,HKT
2017,2022/02/23,THA953,HS-THD,CPH
2018,2022/02/23,THA962,HS-THF,BKK
2019,2022/02/23,THA962,HS-THF,HKT
2020,2022/02/23,THA971,HS-TQF,ZRH
2021,2022/02/24,THA303,HS-THM,BKK
2022,2022/02/24,THA304,HS-THM,RGN
2023,2022/02/24,THA315,HS-TKZ,BKK
2024,2022/02/24,THA316,HS-TKZ,DEL
2025,2022/02/24,THA321,HS-THH,BKK
2026,2022/02/24,THA322,HS-THH,DAC
2027,2022/02/24,THA337,HS-TKY,BKK
2028,2022/02/24,THA338,HS-TKY,MAA
2029,2022/02/24,THA403,HS-TJW,BKK
2030,2022/02/24,THA404,HS-TJW,SIN
2031,2022/02/24,THA433,HS-TKZ,BKK
2032,2022/02/24,THA434,HS-TKZ,CGK
2033,2022/02/24,THA475,HS-TKM,BKK
2034,2022/02/24,THA476,HS-TKY,SYD
2035,2022/02/24,THA477,HS-TKX,BKK
2036,2022/02/24,THA477,HS-TKX,HKT
2037,2022/02/24,THA478,HS-TKX,HKT
2038,2022/02/24,THA478,HS-TKX,SYD
2039,2022/02/24,THA556,HS-THM,BKK
2040,2022/02/24,THA557,HS-THM,SGN
2041,2022/02/24,THA600,HS-THC,BKK
2042,2022/02/24,THA601,HS-THC,HKG
2043,2022/02/24,THA622,HS-TKV,BKK
2044,2022/02/24,THA623,HS-TKQ,KIX
2045,2022/02/24,THA624,HS-TKV,BKK
2046,2022/02/24,THA625,HS-TKV,MNL
2047,2022/02/24,THA642,HS-TJT,BKK
2048,2022/02/24,THA643,HS-TKW,NRT
2049,2022/02/24,THA644,HS-THM,BKK
2050,2022/02/24,THA645,HS-TJT,NGO
2051,2022/02/24,THA656,HS-THH,BKK
2052,2022/02/24,THA657,HS-THK,ICN
2053,2022/02/24,THA668,HS-THJ,BKK
2054,2022/02/24,THA669,HS-THJ,CAN
2055,2022/02/24,THA911,HS-TKU,LHR
2056,2022/02/24,THA920,HS-TKN,BKK
2057,2022/02/24,THA921,HS-TKN,FRA
2058,2022/02/24,THA923,HS-TKP,FRA
2059,2022/02/24,THA926,HS-TKW,BKK
2060,2022/02/24,THA926,HS-TKW,HKT
2061,2022/02/24,THA930,HS-TQE,BKK
2062,2022/02/24,THA934,HS-THD,BKK
2063,2022/02/24,THA935,HS-THE,BRU
2064,2022/02/24,THA952,HS-THK,HKT
2065,2022/02/24,THA952,HS-THK,BKK
2066,2022/02/24,THA963,HS-THF,HKT
2067,2022/02/24,THA963,HS-THF,ARN
2068,2022/02/24,THA970,HS-TQA,BKK
2069,2022/02/25,THA315,HS-TKV,BKK
2070,2022/02/25,THA316,HS-TKV,DEL
2071,2022/02/25,THA317,HS-THM,BKK
2072,2022/02/25,THA318,HS-THM,BOM
2073,2022/02/25,THA325,HS-TQA,BKK
2074,2022/02/25,THA326,HS-TQA,BLR
2075,2022/02/25,THA403,HS-TJS,BKK
2076,2022/02/25,THA404,HS-TJS,SIN
2077,2022/02/25,THA415,HS-THJ,BKK
2078,2022/02/25,THA416,HS-THJ,KUL
2079,2022/02/25,THA433,HS-TKU,BKK
2080,2022/02/25,THA434,HS-TKU,CGK
2081,2022/02/25,THA475,HS-TKZ,BKK
2082,2022/02/25,THA476,HS-TKM,SYD
2083,2022/02/25,THA600,HS-THG,BKK
2084,2022/02/25,THA601,HS-THG,HKG
2085,2022/02/25,THA620,HS-TQF,BKK
2086,2022/02/25,THA621,HS-TQF,MNL
2087,2022/02/25,THA622,HS-TKU,BKK
2088,2022/02/25,THA623,HS-TKV,KIX
2089,2022/02/25,THA632,HS-THE,BKK
2090,2022/02/25,THA633,HS-THE,TPE
2091,2022/02/25,THA642,HS-THC,BKK
2092,2022/02/25,THA643,HS-TJT,NRT
2093,2022/02/25,THA645,HS-THM,NGO
2094,2022/02/25,THA654,HS-THF,BKK
2095,2022/02/25,THA655,HS-THF,ICN
2096,2022/02/25,THA657,HS-THH,ICN
2097,2022/02/25,THA664,HS-THC,BKK
2098,2022/02/25,THA665,HS-THC,PVG
2099,2022/02/25,THA668,HS-TKO,BKK
2100,2022/02/25,THA669,HS-TKO,CAN
2101,2022/02/25,THA8334,HS-TKR,DMK
2102,2022/02/25,THA916,HS-TKQ,BKK
2103,2022/02/25,THA916,HS-TKQ,HKT
2104,2022/02/25,THA917,HS-TKQ,HKT
2105,2022/02/25,THA917,HS-TKQ,LHR
2106,2022/02/25,THA920,HS-TKP,BKK
2107,2022/02/25,THA921,HS-TKP,FRA
2108,2022/02/25,THA926,HS-TKX,BKK
2109,2022/02/25,THA926,HS-TKX,HKT
2110,2022/02/25,THA927,HS-TKW,HKT
2111,2022/02/25,THA927,HS-TKW,FRA
2112,2022/02/25,THA931,HS-TQE,CDG
2113,2022/02/25,THA953,HS-THK,HKT
2114,2022/02/25,THA953,HS-THK,CPH
2115,2022/02/25,THA962,HS-THE,BKK
2116,2022/02/25,THA962,HS-THE,HKT
2117,2022/02/25,THA971,HS-TQA,ZRH
2118,2022/02/26,THA303,HS-THM,BKK
2119,2022/02/26,THA304,HS-THM,RGN
2120,2022/02/26,THA321,HS-THG,BKK
2121,2022/02/26,THA322,HS-THG,DAC
2122,2022/02/26,THA403,HS-TKY,BKK
2123,2022/02/26,THA404,HS-TKY,SIN
2124,2022/02/26,THA475,HS-TKO,BKK
2125,2022/02/26,THA476,HS-TKZ,SYD
2126,2022/02/26,THA477,HS-TKY,BKK
2127,2022/02/26,THA477,HS-TKY,HKT
2128,2022/02/26,THA478,HS-TKY,HKT
2129,2022/02/26,THA478,HS-TKY,SYD
2130,2022/02/26,THA556,HS-TKP,BKK
2131,2022/02/26,THA557,HS-TKP,SGN
2132,2022/02/26,THA560,HS-THM,BKK
2133,2022/02/26,THA561,HS-THM,HAN
2134,2022/02/26,THA600,HS-THF,BKK
2135,2022/02/26,THA601,HS-THF,HKG
2136,2022/02/26,THA622,HS-THC,BKK
2137,2022/02/26,THA623,HS-TKU,KIX
2138,2022/02/26,THA624,HS-TKW,BKK
2139,2022/02/26,THA625,HS-TKW,MNL
2140,2022/02/26,THA640,HS-TJS,BKK
2141,2022/02/26,THA642,HS-THM,BKK
2142,2022/02/26,THA643,HS-THC,NRT
2143,2022/02/26,THA644,HS-THF,BKK
2144,2022/02/26,THA656,HS-THK,BKK
2145,2022/02/26,THA910,HS-TKZ,BKK
2146,2022/02/26,THA916,HS-TKV,BKK
2147,2022/02/26,THA916,HS-TKV,HKT
2148,2022/02/26,THA917,HS-TKV,HKT
2149,2022/02/26,THA917,HS-TKV,LHR
2150,2022/02/26,THA920,HS-TKN,BKK
2151,2022/02/26,THA921,HS-TKN,FRA
2152,2022/02/26,THA926,HS-TKU,BKK
2153,2022/02/26,THA926,HS-TKU,HKT
2154,2022/02/26,THA927,HS-TKX,HKT
2155,2022/02/26,THA927,HS-TKX,FRA
2156,2022/02/26,THA930,HS-TQD,BKK
2157,2022/02/26,THA935,HS-THD,BRU
2158,2022/02/26,THA950,HS-THN,BKK
2159,2022/02/26,THA963,HS-THE,HKT
2160,2022/02/26,THA963,HS-THE,ARN
2161,2022/02/27,THA403,HS-TJW,BKK
2162,2022/02/27,THA404,HS-TJW,SIN
2163,2022/02/27,THA433,HS-THG,BKK
2164,2022/02/27,THA434,HS-THG,CGK
2165,2022/02/27,THA475,HS-TKW,BKK
2166,2022/02/27,THA476,HS-TKO,SYD
2167,2022/02/27,THA600,HS-THJ,BKK
2168,2022/02/27,THA601,HS-THJ,HKG
2169,2022/02/27,THA622,HS-TKV,BKK
2170,2022/02/27,THA623,HS-THC,KIX
2171,2022/02/27,THA641,HS-TJS,NRT
2172,2022/02/27,THA642,HS-TKO,BKK
2173,2022/02/27,THA643,HS-THM,NRT
2174,2022/02/27,THA645,HS-THF,NGO
2175,2022/02/27,THA654,HS-TKQ,BKK
2176,2022/02/27,THA655,HS-TKQ,ICN
2177,2022/02/27,THA656,HS-THK,BKK
2178,2022/02/27,THA657,HS-THK,ICN
2179,2022/02/27,THA664,HS-THD,BKK
2180,2022/02/27,THA665,HS-THD,PVG
2181,2022/02/27,THA668,HS-THH,BKK
2182,2022/02/27,THA669,HS-THH,CAN
2183,2022/02/27,THA911,HS-TKZ,LHR
2184,2022/02/27,THA920,HS-TKP,BKK
2185,2022/02/27,THA921,HS-TKP,FRA
2186,2022/02/27,THA922,HS-TKX,BKK
2187,2022/02/27,THA927,HS-TKU,HKT
2188,2022/02/27,THA927,HS-TKU,FRA
2189,2022/02/27,THA930,HS-TKN,BKK
2190,2022/02/27,THA931,HS-TQD,CDG
2191,2022/02/27,THA951,HS-THN,CPH
2192,2022/02/27,THA970,HS-TQE,BKK
2193,2022/02/28,THA315,HS-TKO,BKK
2194,2022/02/28,THA316,HS-TKO,DEL
2195,2022/02/28,THA317,HS-TKP,BKK
2196,2022/02/28,THA318,HS-TKP,BOM
2197,2022/02/28,THA337,HS-TKW,BKK
2198,2022/02/28,THA338,HS-TKW,MAA
2199,2022/02/28,THA403,HS-TJS,BKK
2200,2022/02/28,THA404,HS-TJS,SIN
2201,2022/02/28,THA475,HS-TKY,BKK
2202,2022/02/28,THA476,HS-TKW,SYD
2203,2022/02/28,THA620,HS-TQF,BKK
2204,2022/02/28,THA621,HS-TQF,MNL
2205,2022/02/28,THA622,HS-TJS,BKK
2206,2022/02/28,THA623,HS-TKV,KIX
2207,2022/02/28,THA624,HS-THF,BKK
2208,2022/02/28,THA625,HS-THF,MNL
2209,2022/02/28,THA632,HS-THD,BKK
2210,2022/02/28,THA633,HS-THD,TPE
2211,2022/02/28,THA642,HS-TKU,BKK
2212,2022/02/28,THA643,HS-TKO,NRT
2213,2022/02/28,THA657,HS-THK,ICN
2214,2022/02/28,THA668,HS-TKM,BKK
2215,2022/02/28,THA669,HS-TKM,CAN
2216,2022/02/28,THA910,HS-TKV,BKK
2217,2022/02/28,THA920,HS-TKQ,BKK
2218,2022/02/28,THA921,HS-TKQ,FRA
2219,2022/02/28,THA922,HS-TKZ,BKK
2220,2022/02/28,THA923,HS-TKX,FRA
2221,2022/02/28,THA931,HS-TKN,CDG
2222,2022/02/28,THA960,HS-THE,BKK
2223,2022/02/28,THA971,HS-TQE,ZRH
2224,2022/03/01,THA315,HS-THG,BKK
2225,2022/03/01,THA316,HS-THG,DEL
2226,2022/03/01,THA317,HS-TKQ,BKK
2227,2022/03/01,THA318,HS-TKQ,BOM
2228,2022/03/01,THA321,HS-THG,BKK
2229,2022/03/01,THA322,HS-THG,DAC
2230,2022/03/01,THA345,HS-THC,BKK
2231,2022/03/01,THA346,HS-THC,LHE
2232,2022/03/01,THA403,HS-TJV,BKK
2233,2022/03/01,THA404,HS-TJV,SIN
2234,2022/03/01,THA475,HS-TKM,BKK
2235,2022/03/01,THA476,HS-TKY,SYD
2236,2022/03/01,THA477,HS-TKO,BKK
2237,2022/03/01,THA477,HS-TKO,HKT
2238,2022/03/01,THA478,HS-TKO,HKT
2239,2022/03/01,THA478,HS-TKO,SYD
2240,2022/03/01,THA600,HS-THM,BKK
2241,2022/03/01,THA601,HS-THM,HKG
2242,2022/03/01,THA622,HS-THM,BKK
2243,2022/03/01,THA623,HS-TJS,KIX
2244,2022/03/01,THA624,HS-TKN,BKK
2245,2022/03/01,THA625,HS-TKN,MNL
2246,2022/03/01,THA640,HS-TJV,BKK
2247,2022/03/01,THA642,HS-THJ,BKK
2248,2022/03/01,THA643,HS-TKU,NRT
2249,2022/03/01,THA644,HS-THF,BKK
2250,2022/03/01,THA656,HS-TKX,BKK
2251,2022/03/01,THA668,HS-THH,BKK
2252,2022/03/01,THA669,HS-THH,CAN
2253,2022/03/01,THA910,HS-TKU,BKK
2254,2022/03/01,THA911,HS-TKV,LHR
2255,2022/03/01,THA920,HS-TKP,BKK
2256,2022/03/01,THA921,HS-TKP,FRA
2257,2022/03/01,THA922,HS-TKY,BKK
2258,2022/03/01,THA923,HS-TKZ,FRA
2259,2022/03/01,THA930,HS-TQD,BKK
2260,2022/03/01,THA934,HS-THD,BKK
2261,2022/03/01,THA952,HS-THN,BKK
2262,2022/03/01,THA952,HS-THN,HKT
2263,2022/03/01,THA961,HS-THE,ARN
2264,2022/03/01,THA970,HS-TQF,BKK
2265,2022/03/02,THA315,HS-TKP,BKK
2266,2022/03/02,THA316,HS-TKP,DEL
2267,2022/03/02,THA317,HS-TKX,BKK
2268,2022/03/02,THA318,HS-TKX,BOM
2269,2022/03/02,THA325,HS-TQA,BKK
2270,2022/03/02,THA326,HS-TQA,BLR
2271,2022/03/02,THA337,HS-THM,BKK
2272,2022/03/02,THA338,HS-THM,MAA
2273,2022/03/02,THA403,HS-TKR,BKK
2274,2022/03/02,THA404,HS-TKR,SIN
2275,2022/03/02,THA415,HS-THC,BKK
2276,2022/03/02,THA416,HS-THC,KUL
2277,2022/03/02,THA433,HS-TKZ,BKK
2278,2022/03/02,THA434,HS-TKZ,CGK
2279,2022/03/02,THA475,HS-TKW,BKK
2280,2022/03/02,THA476,HS-TKM,SYD
2281,2022/03/02,THA600,HS-THG,BKK
2282,2022/03/02,THA601,HS-THG,HKG
2283,2022/03/02,THA620,HS-TQA,BKK
2284,2022/03/02,THA621,HS-TQA,MNL
